,x
2019/1/1,1.95149947552
2019/1/2,1.89644954016
2019/1/3,1.87145099194
2019/1/4,1.902728568
2019/1/5,2.00571503505
2019/1/6,2.12324129623
2019/1/7,2.18090484934
2019/1/8,2.13015662436
2019/1/9,2.1589751934
2019/1/10,2.06782280731
2019/1/11,2.10937137347
2019/1/12,2.15272751214
2019/1/13,2.02556711648
2019/1/14,1.9429701104
2019/1/15,1.99668262841
2019/1/16,2.09762960306
2019/1/17,2.00159790518
2019/1/18,1.88093011156
2019/1/19,2.0881980477
2019/1/20,2.11968957556
2019/1/21,2.16836425049
2019/1/22,2.30075523201
2019/1/23,2.266762273
2019/1/24,2.24639918537
2019/1/25,2.21257732212
2019/1/26,2.18097024469
2019/1/27,2.06964759945
2019/1/28,2.10855477205
2019/1/29,1.93030978873
2019/1/30,1.88598996185
2019/1/31,1.78416136671
2019/2/1,1.88729381602
2019/2/2,1.9331325008
2019/2/3,1.82707980157
2019/2/4,1.70953654282
2019/2/5,2.03390775956
2019/2/6,2.04758880995
2019/2/7,1.9931722077
2019/2/8,2.09991872035
2019/2/9,1.97427987925
2019/2/10,2.0704074913
2019/2/11,1.89320641112
2019/2/12,1.84834222746
2019/2/13,1.85277291421
2019/2/14,2.01922557577
2019/2/15,1.87682326789
2019/2/16,1.93232677503
2019/2/17,2.12996559397
2019/2/18,2.42080861069
2019/2/19,2.4267998868
2019/2/20,1.92192130942
2019/2/21,2.02744350579
2019/2/22,2.3805914334
2019/2/23,2.32656695692
2019/2/24,1.87756059469
2019/2/25,1.79704630889
2019/2/26,1.82694073426
2019/2/27,2.23030713879
2019/2/28,1.95294392567
2019/3/1,1.84544019548
2019/3/2,2.29336456838
2019/3/3,2.08149217743
2019/3/4,1.86731788405
2019/3/5,1.7018329239
2019/3/6,2.2406813829
2019/3/7,2.43600570802
2019/3/8,1.95847146736
2019/3/9,2.15029264984
2019/3/10,1.99202875206
2019/3/11,1.89218936375
2019/3/12,2.24176982055
2019/3/13,2.16563284346
2019/3/14,2.23268414825
2019/3/15,2.10196135001
2019/3/16,1.97570063159
2019/3/17,2.00759639999
2019/3/18,1.94009121244
2019/3/19,1.73633691662
2019/3/20,1.98634277326
2019/3/21,1.99122187355
2019/3/22,1.88934031185
2019/3/23,2.00821252118
2019/3/24,1.8288641792
