,x
2019/10/28,1.5130604027
2019/10/29,1.45243562608
2019/10/30,1.53492468732
2019/10/31,1.54797177038
2019/11/1,1.47511438119
2019/11/2,1.55255981821
2019/11/3,1.87408955315
2019/11/4,1.80985253163
2019/11/5,1.90806905494
2019/11/6,1.88223676956
2019/11/7,1.8976120099
2019/11/8,1.99240054372
2019/11/9,1.92845676961
2019/11/10,1.82452644029
2019/11/11,2.0336399676
2019/11/12,1.95541400905
2019/11/13,1.7364697519
2019/11/14,1.71918166035
2019/11/15,1.90648754917
2019/11/16,1.9189115224
2019/11/17,1.92647451547
2019/11/18,1.81124377177
2019/11/19,1.96053226501
2019/11/20,1.81165388865
2019/11/21,1.76919879986
2019/11/22,1.56174298523
2019/11/23,1.80189279931
2019/11/24,1.91160642924
2019/11/25,1.78073322309
2019/11/26,1.66075661379
2019/11/27,1.85956871878
2019/11/28,1.85541757624
2019/11/29,1.60843960356
2019/11/30,1.51806312123
2019/12/1,1.5576630004
2019/12/2,1.718612513
2019/12/3,1.76921152357
2019/12/4,1.53788865048
2019/12/5,1.60599906197
2019/12/6,1.61565039932
2019/12/7,1.67213060914
2019/12/8,1.70831787432
2019/12/9,1.85632770199
2019/12/10,1.85732657051
2019/12/11,1.82581901437
2019/12/12,1.89708017556
2019/12/13,1.74074555605
2019/12/14,1.83742487594
2019/12/15,1.76425811265
2019/12/16,1.54789885865
2019/12/17,1.47015627035
2019/12/18,1.55557187611
2019/12/19,1.55835937881
2019/12/20,1.54337145563
2019/12/21,1.63825097634
2019/12/22,1.97504877356
2019/12/23,1.89626125237
2019/12/24,1.78260188501
2019/12/25,1.67347895015
2019/12/26,1.64038671418
2019/12/27,1.76364037163
2019/12/28,1.67610014866
2019/12/29,1.64479314395
2019/12/30,1.68192537562
