,x
2019/1/1,1.96649458674
2019/1/2,2.35083672019
2019/1/3,2.46212873416
2019/1/4,2.49744952232
2019/1/5,2.33701181594
2019/1/6,2.25064107429
2019/1/7,2.17943034401
2019/1/8,2.16453641596
2019/1/9,2.40772529701
2019/1/10,2.4583588069
2019/1/11,2.48208539372
2019/1/12,2.30514299049
2019/1/13,2.00129918602
2019/1/14,2.19333581728
2019/1/15,2.22986883759
2019/1/16,2.00438525151
2019/1/17,1.68713137827
2019/1/18,2.28896655488
2019/1/19,2.12718678973
2019/1/20,1.92455970352
2019/1/21,2.04837375072
2019/1/22,2.21505672617
2019/1/23,2.1532910691
2019/1/24,2.48824121123
2019/1/25,2.77465665962
2019/1/26,2.36043562513
2019/1/27,2.04764051995
2019/1/28,2.44079023854
2019/1/29,2.41969005319
2019/1/30,2.23634226699
2019/1/31,1.94074495672
2019/2/1,1.61298412499
2019/2/2,1.7698084132
2019/2/3,2.28844132422
2019/2/4,2.28427405412
2019/2/5,2.2093960859
2019/2/6,2.24192889822
2019/2/7,2.12294987502
2019/2/8,2.06211829483
2019/2/9,1.85936915287
2019/2/10,1.80723855953
2019/2/11,2.29724671592
2019/2/12,2.33396054847
2019/2/13,2.0932196134
2019/2/14,1.98964102426
2019/2/15,1.85510356608
2019/2/16,2.01126063362
2019/2/17,1.83604542597
2019/2/18,1.90236521533
2019/2/19,1.91481713252
2019/2/20,1.91320769013
2019/2/21,1.78999383327
2019/2/22,1.84396707898
2019/2/23,1.91722052578
2019/2/24,1.82466586939
2019/2/25,1.8309994708
2019/2/26,1.96857053689
2019/2/27,1.88204540119
2019/2/28,1.8774603429
2019/3/1,2.24210603555
2019/3/2,2.16774337577
2019/3/3,2.01235661055
2019/3/4,1.98644628657
2019/3/5,2.09997686514
2019/3/6,2.03253366537
2019/3/7,1.96408547713
2019/3/8,1.94380563512
2019/3/9,1.87293555423
2019/3/10,1.73481325828
2019/3/11,2.45106702836
2019/3/12,2.43877525037
2019/3/13,2.23789146611
2019/3/14,2.19032758343
2019/3/15,2.0191429201
2019/3/16,2.0112952832
2019/3/17,1.93697276815
2019/3/18,2.53129120149
2019/3/19,2.40777995436
2019/3/20,2.23805694212
2019/3/21,2.25901290172
2019/3/22,2.21542440968
2019/3/23,2.25973861056
2019/3/24,2.33793000979
2019/3/25,2.29614991304
2019/3/26,2.56483301097
2019/3/27,2.34030373178
2019/3/28,2.08285641167
2019/3/29,2.03966092262
2019/3/30,2.13018919115
2019/3/31,2.06050840442
2019/4/1,2.09358578458
2019/4/2,1.78737101405
2019/4/3,1.6411483048
2019/4/4,2.16446264418
2019/4/5,2.14463105957
2019/4/6,1.84545037192
2019/4/7,1.84028747935
2019/4/8,1.93414519425
2019/4/9,1.77446853731
2019/4/10,1.69268599988
2019/4/11,1.72829173508
2019/4/12,1.90855603112
2019/4/13,2.36510060239
2019/4/14,2.68274022598
2019/4/15,2.09888990444
2019/4/16,2.00212815202
2019/4/17,1.84469710591
2019/4/18,2.12682234791
2019/4/19,2.26961558949
2019/4/20,2.34769881169
2019/4/21,2.21741439949
2019/4/22,2.27366867699
2019/4/23,1.75470140455
2019/4/24,1.73528678328
2019/4/25,1.91758782469
2019/4/26,2.13334837418
2019/4/27,2.29028379436
2019/4/28,2.5210962469
2019/4/29,2.5700208234
2019/4/30,2.38560679677
2019/5/1,1.74012611802
2019/5/2,1.81127978286
2019/5/3,2.10078886864
2019/5/4,2.24764654497
2019/5/5,2.49135798739
2019/5/6,2.47779621858
2019/5/7,2.09104506482
2019/5/8,1.69285247262
2019/5/9,1.75263334651
2019/5/10,1.84984517992
2019/5/11,1.9302666596
2019/5/12,2.27771997358
2019/5/13,2.3161158243
2019/5/14,2.20210736783
2019/5/15,2.08920049717
2019/5/16,1.95103270592
2019/5/17,2.00318667672
2019/5/18,1.79805387333
2019/5/19,1.6294428582
2019/5/20,1.78906982504
2019/5/21,1.96337670201
2019/5/22,1.88217250839
2019/5/23,1.78568151238
2019/5/24,1.73289954551
2019/5/25,1.59600319823
2019/5/26,1.90461390636
2019/5/27,1.91121694088
2019/5/28,2.07943642731
2019/5/29,2.21482137425
2019/5/30,2.17122244396
2019/5/31,1.93727527662
2019/6/1,1.76526145449
2019/6/2,1.95422140578
2019/6/3,1.96491679151
2019/6/4,2.25242094867
2019/6/5,2.13432137866
2019/6/6,1.99380675758
2019/6/7,2.04180737911
2019/6/8,2.19785030107
2019/6/9,1.88167583535
2019/6/10,1.76628720555
2019/6/11,1.64889592362
2019/6/12,1.78158712117
2019/6/13,1.79330445017
2019/6/14,1.7960940248
2019/6/15,1.58311278484
2019/6/16,1.87974458488
2019/6/17,1.66697315972
2019/6/18,1.91935103474
2019/6/19,2.0068170504
2019/6/20,1.65244115833
2019/6/21,1.61038259252
2019/6/22,1.65908188586
2019/6/23,1.65544161817
2019/6/24,1.80654729909
2019/6/25,1.82584962322
2019/6/26,1.73775584944
2019/6/27,1.66838496757
2019/6/28,1.53737139106
2019/6/29,1.50556979869
2019/6/30,1.51362202048
2019/7/1,1.50932820754
2019/7/2,1.4340706045
2019/7/3,1.68442252243
2019/7/4,1.60196481047
2019/7/5,1.46312242881
2019/7/6,1.43958582247
