,x
2019/1/1,1.94694226133
2019/1/2,2.2051578513
2019/1/3,2.83104816334
2019/1/4,2.46781062191
2019/1/5,2.23847262846
2019/1/6,2.20411205152
2019/1/7,2.03896941338
2019/1/8,1.98896659228
2019/1/9,2.0617417479
2019/1/10,2.14219508352
2019/1/11,2.20898653734
2019/1/12,2.13251138124
2019/1/13,2.20879848339
2019/1/14,2.04467771653
2019/1/15,2.32149657945
2019/1/16,2.16804943738
2019/1/17,1.89279367385
2019/1/18,1.92497264257
2019/1/19,2.31317704287
2019/1/20,2.30979983064
2019/1/21,2.3281091247
2019/1/22,2.41984584189
2019/1/23,2.08177002516
2019/1/24,2.34199425162
2019/1/25,2.37992039292
2019/1/26,2.32672549951
2019/1/27,2.18018643427
2019/1/28,1.91887731799
2019/1/29,2.13779260453
2019/1/30,2.19043646507
2019/1/31,2.09790355044
2019/2/1,1.82170210904
2019/2/2,1.73327998251
2019/2/3,1.79999267301
2019/2/4,2.04704063653
2019/2/5,2.24455055156
2019/2/6,2.33107337476
2019/2/7,2.33174103428
2019/2/8,2.13908054795
2019/2/9,1.91101666851
2019/2/10,1.80289413784
2019/2/11,1.78712226616
2019/2/12,2.11403875988
2019/2/13,2.01619299687
2019/2/14,2.02259866588
2019/2/15,2.05042390641
2019/2/16,1.99259020864
2019/2/17,1.94174614115
2019/2/18,1.9505434236
2019/2/19,1.85627091605
2019/2/20,1.80697266284
2019/2/21,1.81677403375
2019/2/22,1.84202457772
2019/2/23,2.81842441186
2019/2/24,2.86837102955
2019/2/25,2.24049286629
2019/2/26,1.92369672214
2019/2/27,1.83896186154
2019/2/28,1.87336206393
2019/3/1,1.75667778885
2019/3/2,1.73063292934
2019/3/3,1.78046643813
2019/3/4,1.70650524789
2019/3/5,1.73901989102
2019/3/6,1.68840045355
2019/3/7,1.62961450622
2019/3/8,1.67168928206
2019/3/9,1.7220683403
2019/3/10,1.70093148713
2019/3/11,1.87766606423
2019/3/12,2.68326159857
2019/3/13,2.07583847219
2019/3/14,1.82722258897
2019/3/15,1.84152600401
2019/3/16,1.726901352
2019/3/17,1.60730719795
2019/3/18,1.79723528139
