,x
2019/1/1,1.94953326066
2019/1/2,2.13866626187
2019/1/3,2.37500566523
2019/1/4,2.23944500327
2019/1/5,2.05352009708
2019/1/6,1.7487948598
2019/1/7,1.75685395218
2019/1/8,2.06181764725
2019/1/9,2.12147259809
2019/1/10,1.82132062923
2019/1/11,1.71976785542
2019/1/12,1.72817969368
2019/1/13,1.83337538688
2019/1/14,1.93969481994
2019/1/15,1.88052565159
2019/1/16,1.83840957461
2019/1/17,2.34400789566
2019/1/18,2.25055721429
2019/1/19,1.97664916781
2019/1/20,1.83625114579
2019/1/21,1.86230052825
2019/1/22,1.89400831968
2019/1/23,1.9327464328
2019/1/24,1.77109757323
2019/1/25,1.6236308152
2019/1/26,1.77070152881
2019/1/27,2.22702802523
2019/1/28,2.42602078342
2019/1/29,1.94864125911
2019/1/30,1.93429535045
2019/1/31,2.17603882037
2019/2/1,2.22453247022
2019/2/2,2.26743732786
2019/2/3,2.16307669794
2019/2/4,1.94520801101
2019/2/5,1.83606965433
2019/2/6,1.87789781042
2019/2/7,1.9197239389
2019/2/8,1.91342877368
2019/2/9,2.2101831214
2019/2/10,1.94791722575
2019/2/11,2.01259496896
2019/2/12,1.82388978535
2019/2/13,1.93912629886
2019/2/14,2.10424139562
2019/2/15,2.14527427286
2019/2/16,1.95150157109
2019/2/17,2.02570414188
2019/2/18,2.04265132107
2019/2/19,2.02046525599
2019/2/20,1.85760371925
2019/2/21,1.7853995301
2019/2/22,2.0339666876
2019/2/23,2.04429144035
2019/2/24,1.83972361913
2019/2/25,2.3389873421
2019/2/26,2.35830009071
2019/2/27,2.13763223941
2019/2/28,1.70554433842
2019/3/1,1.68097812704
2019/3/2,1.84038860965
2019/3/3,1.93393214457
2019/3/4,2.00006020007
2019/3/5,2.08176762036
2019/3/6,1.7817259029
2019/3/7,1.90747064808
2019/3/8,1.88989600626
2019/3/9,2.14423122246
2019/3/10,2.12081514552
2019/3/11,2.28603587556
2019/3/12,1.99148021273
2019/3/13,2.04984182463
2019/3/14,1.9823628019
2019/3/15,1.89849174423
2019/3/16,1.71872273745
2019/3/17,1.95318884508
2019/3/18,1.71937857015
2019/3/19,1.62659832454
2019/3/20,1.6298714886
2019/3/21,1.66453962677
2019/3/22,1.75470708842
2019/3/23,2.11619387122
2019/3/24,2.01489822114
2019/3/25,2.14960521012
2019/3/26,1.957277998
2019/3/27,2.02879517719
2019/3/28,1.94003621539
2019/3/29,1.93746689238
2019/3/30,1.83030749181
2019/3/31,2.25159963817
2019/4/1,2.19612344203
2019/4/2,1.98857618494
2019/4/3,1.92753456345
2019/4/4,1.95529714815
2019/4/5,2.14207604828
2019/4/6,2.16645869371
2019/4/7,1.85364035151
2019/4/8,1.81628098993
2019/4/9,2.14260082636
2019/4/10,2.26226663356
2019/4/11,2.36646920819
2019/4/12,2.37219804485
2019/4/13,2.44655853882
2019/4/14,2.38071151572
2019/4/15,2.22489548981
2019/4/16,1.82051896872
2019/4/17,1.94995457875
2019/4/18,1.90835921738
2019/4/19,2.14512966958
2019/4/20,2.11487655376
2019/4/21,2.19729451104
2019/4/22,2.34549126533
2019/4/23,2.08518838258
2019/4/24,1.81967286926
2019/4/25,1.83333316262
2019/4/26,1.81426124908
2019/4/27,1.71295800023
2019/4/28,1.73941252688
2019/4/29,1.94341991457
2019/4/30,1.92331559066
2019/5/1,1.73078670685
2019/5/2,1.71588308176
2019/5/3,1.70908040239
2019/5/4,2.37564088097
2019/5/5,2.21496160524
2019/5/6,2.14923693732
2019/5/7,2.0495432454
2019/5/8,1.77876303156
2019/5/9,1.79814688203
2019/5/10,1.81604860135
2019/5/11,2.01553963155
2019/5/12,2.14949403308
2019/5/13,2.14188882871
2019/5/14,2.20085197099
2019/5/15,2.16045968598
2019/5/16,2.2602601728
2019/5/17,2.06132632297
2019/5/18,1.80155131959
2019/5/19,1.71705060816
2019/5/20,1.79660061908
2019/5/21,1.98404172223
2019/5/22,1.87130138467
2019/5/23,1.8770254849
2019/5/24,1.77343343605
2019/5/25,1.64478462818
2019/5/26,1.64424067174
2019/5/27,1.7510234961
2019/5/28,1.84124095597
2019/5/29,1.722938376
2019/5/30,1.53587018999
2019/5/31,1.63956987778
2019/6/1,1.60925274754
2019/6/2,1.72826584106
2019/6/3,2.04103417475
2019/6/4,1.64628200114
2019/6/5,1.74671241233
2019/6/6,1.94710397103
2019/6/7,1.69186212751
2019/6/8,1.490010188
2019/6/9,1.70794963499
2019/6/10,1.76883938803
2019/6/11,1.63874371202
2019/6/12,1.48524249704
2019/6/13,1.51290745691
2019/6/14,1.61396590951
2019/6/15,1.60048980345
2019/6/16,1.66780797782
2019/6/17,1.49304490244
2019/6/18,1.60569014441
2019/6/19,1.72471289332
2019/6/20,1.79719391935
2019/6/21,1.95967850768
2019/6/22,1.9900414564
2019/6/23,1.75763133498
2019/6/24,1.41396276008
2019/6/25,1.3716368221
2019/6/26,1.58825542485
2019/6/27,1.82087217518
2019/6/28,1.74418545637
2019/6/29,1.53319330799
2019/6/30,1.67875725189
2019/7/1,1.79174255363
2019/7/2,1.84597542436
2019/7/3,1.91195137881
2019/7/4,1.71775559861
2019/7/5,1.64302786779
2019/7/6,1.5784566131
2019/7/7,1.7988861785
2019/7/8,1.81630967239
2019/7/9,1.40113863966
2019/7/10,1.4948003781
2019/7/11,1.33672378497
2019/7/12,1.43403551634
2019/7/13,1.53549507832
2019/7/14,1.60229794065
2019/7/15,1.71907028739
2019/7/16,1.67242001183
2019/7/17,1.55231807745
2019/7/18,1.57429181196
2019/7/19,1.39636207484
2019/7/20,1.5711190285
2019/7/21,1.59107126942
2019/7/22,1.47679307077
2019/7/23,1.5461553516
2019/7/24,1.41640620133
2019/7/25,1.56542337946
2019/7/26,1.42003916156
2019/7/27,1.27186568195
2019/7/28,1.23658411813
2019/7/29,1.63387061046
2019/7/30,1.48515658285
2019/7/31,1.24802802083
2019/8/1,1.35435233162
2019/8/2,1.51634825341
2019/8/3,1.48877769085
2019/8/4,1.44980944496
2019/8/5,1.67222787069
2019/8/6,1.64814727627
2019/8/7,1.5352611488
2019/8/8,1.61730747748
2019/8/9,1.36668551689
2019/8/10,1.47377966551
2019/8/11,1.55211292032
2019/8/12,1.76734908469
2019/8/13,1.70590916067
2019/8/14,1.35515046721
2019/8/15,1.65527030872
2019/8/16,1.37574517889
2019/8/17,1.73738527359
2019/8/18,1.75142563379
2019/8/19,1.64895857212
2019/8/20,1.64072209715
2019/8/21,1.54831896472
2019/8/22,1.47764675586
2019/8/23,1.45823049895
2019/8/24,1.69137302534
2019/8/25,1.70859665471
2019/8/26,1.37657139935
2019/8/27,1.40327819574
2019/8/28,1.37169356892
2019/8/29,1.62845730607
2019/8/30,1.64339541265
2019/8/31,1.68935590454
2019/9/1,1.69378001294
2019/9/2,1.59794371346
2019/9/3,1.4524364746
2019/9/4,1.5909331998
2019/9/5,1.7856064172
2019/9/6,1.64025691844
2019/9/7,1.81205917919
2019/9/8,1.77062392086
2019/9/9,1.48714022847
2019/9/10,1.63524662811
2019/9/11,1.57963310557
2019/9/12,1.47596139965
2019/9/13,1.80742520427
2019/9/14,1.76192848419
2019/9/15,1.42882447622
2019/9/16,1.58913965484
2019/9/17,1.80550346704
2019/9/18,1.74141907635
2019/9/19,1.60437908347
2019/9/20,1.69393527674
2019/9/21,2.01097343735
2019/9/22,1.46577162043
