,x
2019/1/1,1.89203914221
2019/1/2,2.15792128864
2019/1/3,2.23100572554
2019/1/4,2.05744451137
2019/1/5,1.94878531847
2019/1/6,1.76022678588
2019/1/7,1.75773849505
2019/1/8,2.01438642235
2019/1/9,2.16889677074
2019/1/10,1.80532808895
2019/1/11,1.79528697592
2019/1/12,1.68649088054
2019/1/13,1.79392374468
2019/1/14,1.90824005645
2019/1/15,1.89315478023
2019/1/16,1.84526942474
2019/1/17,2.35150170008
2019/1/18,2.10130571416
2019/1/19,1.85028400395
2019/1/20,1.76858562184
2019/1/21,1.85006032111
2019/1/22,1.90709966074
2019/1/23,1.91189158429
2019/1/24,1.6868044118
2019/1/25,1.62287032662
2019/1/26,1.78796875901
2019/1/27,2.18142222764
2019/1/28,2.3346032491
2019/1/29,1.97671851603
2019/1/30,1.94927665157
2019/1/31,2.05696806689
2019/2/1,2.17135191995
2019/2/2,2.28843541086
2019/2/3,2.04740122611
2019/2/4,1.85978237952
2019/2/5,1.78254653551
2019/2/6,1.85812510147
2019/2/7,1.87162273897
2019/2/8,1.8507848457
2019/2/9,2.11906716813
2019/2/10,1.92066927065
2019/2/11,1.96223261854
2019/2/12,1.79585001173
2019/2/13,1.86094827525
2019/2/14,1.87876593412
2019/2/15,1.99381245592
2019/2/16,1.86971508285
2019/2/17,1.90113720401
2019/2/18,1.97809337453
2019/2/19,1.93842449422
2019/2/20,1.74814726618
2019/2/21,1.749793927
2019/2/22,1.82395023745
2019/2/23,1.85447914301
2019/2/24,1.6259394483
2019/2/25,2.01864606388
2019/2/26,2.09462210895
2019/2/27,1.98090865379
2019/2/28,1.62225940064
2019/3/1,1.63840361564
2019/3/2,1.76503412246
2019/3/3,1.90647803213
2019/3/4,1.90474993479
2019/3/5,2.01008461965
2019/3/6,1.68918638315
2019/3/7,1.87994885032
2019/3/8,1.8739895515
2019/3/9,2.05764262206
2019/3/10,1.98829385952
2019/3/11,2.11272550248
2019/3/12,1.90527407831
2019/3/13,1.96874026483
2019/3/14,1.87160892189
2019/3/15,1.84100445157
2019/3/16,1.79732582126
2019/3/17,1.98495164792
2019/3/18,1.7594647752
2019/3/19,1.65562275216
2019/3/20,1.6786533666
2019/3/21,1.67246891117
2019/3/22,1.76866148979
2019/3/23,2.1671873866
2019/3/24,1.99181294365
2019/3/25,2.12120789326
2019/3/26,1.91410126323
2019/3/27,2.02472594019
2019/3/28,1.88284311327
2019/3/29,1.80746210384
2019/3/30,1.81710504453
2019/3/31,2.17448527875
2019/4/1,2.08678011102
2019/4/2,1.98821340921
2019/4/3,1.89625025193
2019/4/4,1.8514940065
2019/4/5,2.00960756426
2019/4/6,2.16276017322
2019/4/7,1.8661870536
2019/4/8,1.8130716978
2019/4/9,2.1266349581
2019/4/10,2.17262520998
2019/4/11,2.22980847451
2019/4/12,2.27568326465
2019/4/13,2.35420906772
2019/4/14,2.29851813457
2019/4/15,2.20381330161
2019/4/16,1.8135629335
2019/4/17,1.90054670146
2019/4/18,1.83614474323
2019/4/19,2.03859656854
2019/4/20,2.1552786993
2019/4/21,2.02521463615
2019/4/22,2.11409759975
2019/4/23,2.01024098316
2019/4/24,1.72657534225
2019/4/25,1.84570890163
2019/4/26,1.82115776475
2019/4/27,1.75254143782
2019/4/28,1.8079936753
2019/4/29,1.84664792938
2019/4/30,1.84553938075
2019/5/1,1.72850111177
2019/5/2,1.70248431974
2019/5/3,1.81685040026
2019/5/4,2.21850814718
2019/5/5,2.18985406938
2019/5/6,2.15302387045
2019/5/7,1.99863406675
2019/5/8,1.72294826479
2019/5/9,1.75502264025
2019/5/10,1.80242528131
2019/5/11,1.94512800469
2019/5/12,2.17299082252
2019/5/13,2.06157924188
2019/5/14,2.07624261143
2019/5/15,2.04177075309
2019/5/16,2.17104248542
2019/5/17,2.03572625158
2019/5/18,1.79126785553
2019/5/19,1.69651493998
2019/5/20,1.79539706576
2019/5/21,1.97723563882
2019/5/22,1.89529301326
2019/5/23,1.8595064115
2019/5/24,1.82397204414
2019/5/25,1.65358697105
2019/5/26,1.6859403178
2019/5/27,1.74208605703
2019/5/28,1.90229550993
2019/5/29,1.66666945429
2019/5/30,1.59178682964
2019/5/31,1.68579843089
2019/6/1,1.55729194814
2019/6/2,1.74470508361
2019/6/3,2.05729367014
2019/6/4,1.58151378877
2019/6/5,1.76030202552
2019/6/6,1.82532132631
2019/6/7,1.64744120036
2019/6/8,1.58550482926
2019/6/9,1.77357220884
2019/6/10,1.68144218903
2019/6/11,1.57386599972
2019/6/12,1.50477350317
2019/6/13,1.53605627511
2019/6/14,1.63234489728
2019/6/15,1.72304529244
2019/6/16,1.7086342429
2019/6/17,1.66040978263
2019/6/18,1.6870926777
2019/6/19,1.78523804127
2019/6/20,1.81880251659
2019/6/21,2.01739384294
2019/6/22,1.91048816539
2019/6/23,1.68412367014
2019/6/24,1.41134717202
2019/6/25,1.39989188618
2019/6/26,1.58605599269
2019/6/27,1.71771915637
2019/6/28,1.63749846422
2019/6/29,1.49398694639
2019/6/30,1.69136315853
2019/7/1,1.82177616136
2019/7/2,1.8631282576
2019/7/3,2.03397749445
2019/7/4,2.11758532551
2019/7/5,2.09397254342
2019/7/6,2.04284966012
2019/7/7,2.16527229244
2019/7/8,2.08466704718
2019/7/9,1.88910916761
2019/7/10,1.92018958927
2019/7/12,1.51866067311
2019/7/13,1.46652008315
2019/7/14,1.48936056035
2019/7/15,1.65126798489
2019/7/16,1.62546662824
2019/7/17,1.48637991388
2019/7/18,1.57189609355
2019/7/19,1.3086047024
2019/7/20,1.50106664457
2019/7/21,1.52654979713
2019/7/22,1.43426230871
2019/7/23,1.49442747734
2019/7/24,1.37367207828
2019/7/25,1.44429673952
2019/7/26,1.45735491903
2019/7/27,1.28779079545
2019/7/28,1.22424705631
2019/7/29,1.57094311985
2019/7/30,1.44416950907
2019/7/31,1.26151493947
2019/8/1,1.34053843913
2019/8/2,1.49622836175
2019/8/3,1.40446182897
2019/8/4,1.40735769763
2019/8/5,1.63368009492
2019/8/6,1.55930038226
2019/8/7,1.50926375898
2019/8/8,1.5844480466
2019/8/9,1.28782972171
2019/8/10,1.41033539095
2019/8/11,1.46266811058
2019/8/12,1.82427233255
2019/8/13,1.69344374596
2019/8/14,1.29669251615
2019/8/15,1.57715975354
2019/8/16,1.31607169362
2019/8/17,1.65573646507
2019/8/18,1.63313988316
2019/8/19,1.59719226046
2019/8/20,1.55206020046
