station,lat,loc,country,air,rh,R
720483-99999,39.096,-93.203,US,9.83333333333,60.5424390232,2.13107253985
724586-03919,38.8,-97.65,US,10.025,47.6462265003,2.23795387663
720425-99999,37.163,-101.371,US,4.85416666667,42.8950412285,2.38037762959
726413-04875,43.417,-88.133,US,-1.41666666667,77.8358054671,2.20387045576
A00015-53129,36.96,-113.014,US,1.91666666667,71.0226836478,2.19679370764
725229-04858,40.023,-82.463,US,-0.304166666667,54.7318164204,2.38023093178
727449-04954,46.419,-92.804,US,-8.70833333333,58.1978139027,2.51571859005
724765-93013,38.506,-107.899,US,-6.33333333333,78.3706291721,2.29594333504
999999-93804,34.917,-81.95,US,6.47826086957,58.6469270889,2.21329675688
724107-53895,36.766,-80.823,US,3.57083333333,43.1661159773,2.40328214158
726836-04201,45.773,-122.861,US,2.55416666667,90.0414075585,2.02107980648
721011-99999,47.967,-100.581,US,-12.1,77.1456290415,2.41982650282
722166-93845,30.783,-83.277,US,8.89583333333,67.627970807,2.08870992714
720305-53964,33.254,-97.581,US,15.4916666667,71.4348360565,1.92637293997
725556-94975,42.577,-100.001,US,1.90416666667,82.5354433797,2.09825997914
725810-24193,40.721,-114.036,US,1.3625,60.2054083203,2.30050084661
724660-93037,38.81,-104.688,US,2.5625,25.841450086,2.57175160826
724880-23185,39.484,-119.771,US,3.17083333333,50.6779544529,2.34669456746
726370-14826,42.967,-83.749,US,-3.77,58.7628119923,2.41378327311
725127-04726,40.316,-78.834,US,-6.625,61.3195623586,2.44797565496
720932-00317,31.606,-90.409,US,11.9583333333,68.038818518,2.02497610378
726563-94969,44.333,-93.317,US,-3.125,72.9388341329,2.27947230314
747810-13857,30.967,-83.2,US,9.20434782609,64.4613300152,2.10981431021
725970-24225,42.381,-122.872,US,5.29583333333,84.1780129225,2.01748656579
720855-00283,48.784,-97.632,US,-12.75,76.904747501,2.43467226644
701338-99999,61.533,-165.583,US,-23.1391304348,77.99475689,2.62957029023
725104-04843,41.626,-80.215,US,-6.41666666667,58.5777527033,2.46740454847
723628-93942,31.178,-99.324,US,17.0416666667,67.6697680167,1.92820422375
725053-94728,40.779,-73.969,US,-2.1,34.7061014802,2.5873576493
725050-04781,40.794,-73.102,US,-2.225,39.8569552931,2.54562082359
723403-13963,34.727,-92.239,US,10.2916666667,67.0361764705,2.06634543922
727584-94038,46.014,-102.655,US,-6.47916666667,83.2292471027,2.25712347653
727417-54825,45.407,-83.813,US,-6.01666666667,65.1978873199,2.40273979346
724796-94128,41.787,-111.853,US,-2.52916666667,84.7734155609,2.16621751115
725637-99999,42.806,-102.175,US,0.854166666667,71.6944793614,2.21191845041
722120-12833,29.633,-83.105,US,8.8625,76.4605107332,2.01358206791
721001-99999,47.333,-112.1,US,-9.28260869565,82.541724205,2.31813809328
720866-00292,47.29,-101.581,US,-9.91666666667,85.861371003,2.30212110346
725434-54789,41.139,-75.379,US,-8.2375,55.105521838,2.53299387263
726384-14817,44.283,-85.417,US,-7.47916666667,61.4647781996,2.46352261971
785510-11624,17.7,-64.813,US,26.0625,76.1263971232,1.67829676268
723264-99999,35.964,-83.874,US,4.27272727273,83.0470332596,2.04730463645
722506-12959,26.184,-98.254,US,22.0416666667,74.1638306805,1.77418516609
720887-00297,46.117,-89.883,US,-8.22083333333,77.5510077824,2.34008393656
720492-00151,44.567,-72.017,US,-11.9666666667,66.7236344542,2.50662588305
724298-04850,40.708,-84.027,US,-1.11666666667,59.7061239395,2.35352512327
725316-03887,39.834,-88.866,US,4.30833333333,58.0854766388,2.26077477711
722689-23077,34.433,-103.083,US,6.5875,36.0243212835,2.40525107339
723626-03737,36.399,-76.016,US,4.25416666667,71.9677118992,2.14273011524
727883-24220,47.034,-120.53,US,1.0125,60.4663605613,2.30514287638
723815-23161,34.854,-116.786,US,8.925,48.3993919418,2.25311771714
703061-25521,59.324,-155.902,US,-11.8333333333,86.2830137953,2.33618507497
726515-94902,44.3,-96.8,US,-6.12083333333,81.6031248194,2.26403077238
725175-64706,40.633,-79.1,US,-3.91666666667,60.9492522262,2.39790708257
720863-00289,48.381,-102.898,US,-11.9166666667,89.8362506884,2.30733663576
727507-54904,45.332,-95.651,US,-8.08333333333,75.0917662881,2.35848097858
725314-03960,38.571,-90.157,US,8.26666666667,53.2415085331,2.22451519012
722540-13904,30.183,-97.68,US,19.5125,73.4528621623,1.83000869265
722899-03179,33.975,-117.636,US,10.4416666667,81.1581970599,1.94222950256
726480-94853,45.733,-87.083,US,-5.20833333333,77.2139974501,2.28374973521
726228-94740,44.385,-74.207,US,-14.8583333333,69.069161677,2.54335142614
722330-53865,30.343,-89.822,US,11.6208333333,79.5752690018,1.93262860863
724678-94033,40.517,-106.867,US,-4.34166666667,86.9228585351,2.18340904044
