station,lat,loc,country,air,rh,R
720483-99999,39.096,-93.203,US,11.0,43.0565149502,2.25816510173
724586-03919,38.8,-97.65,US,13.5625,43.5657891817,2.20341677882
720425-99999,37.163,-101.371,US,12.9166666667,59.8361448966,2.07651421012
726413-04875,43.417,-88.133,US,8.16666666667,45.7390206233,2.29085253639
A00015-53129,36.96,-113.014,US,9.95833333333,50.3022877566,2.21647553771
725229-04858,40.023,-82.463,US,4.7625,55.9895018849,2.26982932383
727449-04954,46.419,-92.804,US,6.95833333333,55.995261245,2.22660982518
724765-93013,38.506,-107.899,US,12.3208333333,33.4005353096,2.31504582371
999999-93804,34.917,-81.95,US,6.20833333333,51.131875095,2.28308267835
724107-53895,36.766,-80.823,US,3.54166666667,44.0320300076,2.39642601587
726836-04201,45.773,-122.861,US,4.7625,83.3233099135,2.03530525094
721011-99999,47.967,-100.581,US,-2.49166666667,94.7949707203,2.07949531789
722166-93845,30.783,-83.277,US,10.4583333333,63.6523620667,2.09210190013
720305-53964,33.254,-97.581,US,11.6208333333,67.8745869802,2.03302046038
725556-94975,42.577,-100.001,US,12.0875,52.3083709791,2.157403927
725810-24193,40.721,-114.036,US,9.1,43.2413478022,2.29393323586
724660-93037,38.81,-104.688,US,12.7458333333,24.5393988174,2.38271887481
724880-23185,39.484,-119.771,US,4.63333333333,51.9955685331,2.30663668865
726370-14826,42.967,-83.749,US,7.99523809524,37.275519757,2.36683965953
725127-04726,40.316,-78.834,US,3.60416666667,40.7277263519,2.42354819123
720932-00317,31.606,-90.409,US,12.75,54.7447635984,2.12347492833
726563-94969,44.333,-93.317,US,9.04166666667,60.9060455172,2.1435169628
747810-13857,30.967,-83.2,US,9.9875,67.0410324925,2.07228369121
725970-24225,42.381,-122.872,US,4.58333333333,78.7873692873,2.07774603818
720855-00283,48.784,-97.632,US,-3.58333333333,86.4305325236,2.17272436428
747355-53997,31.917,-98.6,US,14.7142857143,73.9535922684,1.92004532119
701338-99999,61.533,-165.583,US,-15.8875,81.9332668468,2.45321082045
725104-04843,41.626,-80.215,US,3.55416666667,50.096830222,2.34414428003
701333-26643,66.069,-162.764,US,-23.8863636364,83.325052006,2.59852696288
723628-93942,31.178,-99.324,US,13.7083333333,67.3826822522,1.99620075294
725053-94728,40.779,-73.969,US,6.60416666667,26.3904361675,2.48758214102
725050-04781,40.794,-73.102,US,3.725,43.1305634887,2.40055626527
723403-13963,34.727,-92.239,US,10.0625,50.2869594801,2.21455913766
725753-99999,41.05,-113.07,US,7.22222222222,56.9872508054,2.2129104992
727584-94038,46.014,-102.655,US,3.05416666667,73.6903927446,2.15154151358
727417-54825,45.407,-83.813,US,4.90833333333,44.2792093461,2.36743655048
724796-94128,41.787,-111.853,US,8.07916666667,65.2148094164,2.12547051854
725637-99999,42.806,-102.175,US,7.90833333333,56.3333231158,2.20503225433
722120-12833,29.633,-83.105,US,10.6125,64.739093908,2.07974682427
721001-99999,47.333,-112.1,US,-5.04347826087,82.7442397678,2.2330592054
720866-00292,47.29,-101.581,US,0.125,94.4598345226,2.0309271198
725434-54789,41.139,-75.379,US,1.83333333333,40.4092534396,2.46109527215
726384-14817,44.283,-85.417,US,5.02916666667,38.7337234852,2.41264123583
785510-11624,17.7,-64.813,US,24.7625,78.5619372433,1.68295782845
723264-99999,35.964,-83.874,US,15.0,33.2015291749,2.26408087968
722506-12959,26.184,-98.254,US,20.3416666667,63.3632689052,1.90027598613
720887-00297,46.117,-89.883,US,4.89166666667,56.5596536386,2.26239800511
720492-00151,44.567,-72.017,US,-3.39583333333,47.3076095603,2.50471279331
724298-04850,40.708,-84.027,US,6.85,46.6850903483,2.30862092481
725316-03887,39.834,-88.866,US,8.675,39.2895004973,2.33619558573
722689-23077,34.433,-103.083,US,10.2083333333,76.2079063092,1.98929033053
723626-03737,36.399,-76.016,US,10.8818181818,44.4420823003,2.24860038841
727883-24220,47.034,-120.53,US,2.7,57.5272136489,2.29718450689
723815-23161,34.854,-116.786,US,12.8833333333,48.0912005529,2.17794116592
703061-25521,59.324,-155.902,US,-0.131818181818,97.2045735867,2.01242630408
726515-94902,44.3,-96.8,US,9.72083333333,64.434199778,2.09989298257
725175-64706,40.633,-79.1,US,3.75,53.0656805688,2.31482146072
720863-00289,48.381,-102.898,US,-2.20833333333,99.015199601,2.03771542076
727507-54904,45.332,-95.651,US,7.14285714286,71.6123879568,2.0889871399
725314-03960,38.571,-90.157,US,10.3416666667,39.3023284883,2.3033188549
722540-13904,30.183,-97.68,US,13.5916666667,75.1194460086,1.93211298658
722899-03179,33.975,-117.636,US,14.2875,63.1073614594,2.02149658868
726480-94853,45.733,-87.083,US,2.20416666667,78.6174496529,2.12597836531
726228-94740,44.385,-74.207,US,-2.3375,53.5689303843,2.4301838273
722330-53865,30.343,-89.822,US,13.5125,66.065890923,2.01134890588
724678-94033,40.517,-106.867,US,3.9375,69.9453213069,2.16630789319
702626-99999,57.58,-157.58,US,0.472222222222,98.6416628212,1.9882206441
720572-99999,40.612,-112.351,US,9.29166666667,59.9484034676,2.14681853158
747940-12868,28.483,-80.567,US,18.175,55.7273528101,2.00838881289
720864-00290,35.937,-77.547,US,5.37083333333,61.9208095684,2.20697887057
724955-93227,38.21,-122.285,US,7.5625,80.0544213363,2.00830431493
723147-53870,35.197,-81.156,US,7.69583333333,40.7116701167,2.34324378707
722470-03901,32.385,-94.712,US,12.0375,48.6253957688,2.1899868543
723083-13763,36.698,-76.903,US,4.38333333333,62.8968933817,2.21801832145
720255-99999,36.909,-94.888,US,12.625,41.7401675132,2.23751186274
725407-04854,45.013,-84.701,US,4.175,43.8285481827,2.38572055659
727468-04928,47.783,-93.65,US,5.29166666667,59.86546856,2.22617011309
A00016-03036,37.583,-109.483,US,10.375,38.0783189114,2.31316552374
747806-63809,32.955,-84.264,US,8.75,55.5648786514,2.19507834117
720477-99999,37.648,-92.652,US,11.4583333333,33.0180300847,2.33528446854
725705-94030,40.443,-109.513,US,9.28333333333,52.9764009762,2.20680214629
723526-03932,35.357,-99.204,US,9.54166666667,73.8326121155,2.02277702138
