station,lat,loc,country,air,rh,R
720483-99999,39.096,-93.203,US,0.0,77.2485054758,2.18105782302
724586-03919,38.8,-97.65,US,0.804166666667,58.6472920767,2.32484631731
720425-99999,37.163,-101.371,US,1.14166666667,66.2713380624,2.25279675276
726413-04875,43.417,-88.133,US,-9.20833333333,54.7100350354,2.55547373273
A00015-53129,36.96,-113.014,US,9.375,28.4090524678,2.41578782983
725229-04858,40.023,-82.463,US,1.6375,63.0311565759,2.27084942658
727449-04954,46.419,-92.804,US,-16.7916666667,56.1885016887,2.69187682218
724765-93013,38.506,-107.899,US,-0.341666666667,54.9052105993,2.37948045972
999999-93804,34.917,-81.95,US,11.2916666667,80.0938456556,1.93465063761
724107-53895,36.766,-80.823,US,4.66923076923,53.9100204273,2.28950494781
726836-04201,45.773,-122.861,US,4.01666666667,65.1026324848,2.20630174661
721011-99999,47.967,-100.581,US,-19.5565217391,65.4685804476,2.66661079715
722166-93845,30.783,-83.277,US,21.5458333333,78.0477917928,1.75060886308
720305-53964,33.254,-97.581,US,7.34583333333,62.5831636912,2.1624673722
725556-94975,42.577,-100.001,US,-9.79166666667,80.5416106285,2.34530714747
725810-24193,40.721,-114.036,US,-3.47083333333,52.1935543137,2.46426588732
724660-93037,38.81,-104.688,US,-4.01666666667,75.1485963955,2.27804270959
724880-23185,39.484,-119.771,US,3.38333333333,31.2876595119,2.50888554805
726370-14826,42.967,-83.749,US,-3.47,55.1539903158,2.43884896309
725127-04726,40.316,-78.834,US,0.1875,67.7845741259,2.258572104
720932-00317,31.606,-90.409,US,13.125,99.0003751827,1.73638928093
726563-94969,44.333,-93.317,US,-15.9583333333,70.0950082087,2.5561756629
747810-13857,30.967,-83.2,US,21.1208333333,80.6187882788,1.73690521323
725970-24225,42.381,-122.872,US,4.49166666667,56.2783631023,2.27267547792
720855-00283,48.784,-97.632,US,-20.7916666667,60.4974517369,2.73354603076
747355-53997,31.917,-98.6,US,7.76923076923,78.8986633966,2.01415639113
701338-99999,61.533,-165.583,US,-13.9541666667,87.6935622383,2.36577815266
725104-04843,41.626,-80.215,US,-1.825,66.8879608785,2.30583079566
701333-26643,66.069,-162.764,US,-10.6045454545,71.8537876614,2.4358298655
723628-93942,31.178,-99.324,US,7.70833333333,73.8306025762,2.05883759656
725053-94728,40.779,-73.969,US,6.7,54.1701800271,2.24734785537
725050-04781,40.794,-73.102,US,6.29166666667,65.4192528378,2.15885864398
723403-13963,34.727,-92.239,US,6.09166666667,65.6183513598,2.16108237867
727584-94038,46.014,-102.655,US,-14.8166666667,76.3174720573,2.48034175642
727417-54825,45.407,-83.813,US,-6.86666666667,66.5870758961,2.40753155548
724796-94128,41.787,-111.853,US,-7.5,65.454750534,2.42969824042
725637-99999,42.806,-102.175,US,-6.74583333333,84.7574366514,2.24925427686
722120-12833,29.633,-83.105,US,20.7666666667,86.6283168048,1.69230637515
721001-99999,47.333,-112.1,US,-10.65,82.3646540762,2.34654026803
720866-00292,47.29,-101.581,US,-20.3076923077,63.5045049725,2.69823057811
725434-54789,41.139,-75.379,US,0.966666666667,64.9376294486,2.26768047266
726384-14817,44.283,-85.417,US,-7.5625,56.0752829445,2.51140282234
785510-11624,17.7,-64.813,US,26.4125,65.980081562,1.7584711502
723264-99999,35.964,-83.874,US,8.95833333333,77.705707647,2.00101419506
