station,lat,loc,country,air,rh,R
720483-99999,39.096,-93.203,US,0.166666666667,83.0117645707,2.12833239332
724586-03919,38.8,-97.65,US,0.554166666667,57.9480610744,2.33576071931
720425-99999,37.163,-101.371,US,-3.65416666667,72.010906721,2.297837337
726413-04875,43.417,-88.133,US,-2.82608695652,72.7053876833,2.27559864324
A00015-53129,36.96,-113.014,US,3.08695652174,42.3230206779,2.42002891737
725229-04858,40.023,-82.463,US,4.51666666667,87.6297390318,2.00318917244
727449-04954,46.419,-92.804,US,-5.08333333333,58.3807081314,2.44288185757
724765-93013,38.506,-107.899,US,-5.44166666667,39.1409539345,2.61500378191
999999-93804,34.917,-81.95,US,10.1666666667,85.410172057,1.91115405708
724107-53895,36.766,-80.823,US,9.54583333333,87.387284642,1.90639601444
726836-04201,45.773,-122.861,US,8.50416666667,80.3504946924,1.98725083887
721011-99999,47.967,-100.581,US,-7.31739130435,83.4699692024,2.27153757729
722166-93845,30.783,-83.277,US,18.0416666667,90.0132915119,1.71683679216
720305-53964,33.254,-97.581,US,4.84166666667,57.121262741,2.25856239902
725556-94975,42.577,-100.001,US,-4.1875,76.6351266821,2.26864686307
725810-24193,40.721,-114.036,US,-1.80833333333,48.833982181,2.46040626622
724660-93037,38.81,-104.688,US,-6.43333333333,47.3398529707,2.56415339484
724880-23185,39.484,-119.771,US,6.54166666667,27.0207155917,2.48340309356
726370-14826,42.967,-83.749,US,-1.20476190476,75.6141980328,2.21876579993
725127-04726,40.316,-78.834,US,7.89166666667,84.2018396589,1.96624804906
720932-00317,31.606,-90.409,US,9.78260869565,89.8949553495,1.88022519615
726563-94969,44.333,-93.317,US,-3.875,70.0049745395,2.31938981845
747810-13857,30.967,-83.2,US,17.9833333333,91.2649863795,1.70724408353
725970-24225,42.381,-122.872,US,7.24583333333,61.4710021516,2.17397571821
720855-00283,48.784,-97.632,US,-11.75,79.6281606018,2.39164538204
747355-53997,31.917,-98.6,US,5.8,46.5530201862,2.3303970868
701338-99999,61.533,-165.583,US,-14.4047619048,80.4222095109,2.43702506144
725104-04843,41.626,-80.215,US,3.27826086957,92.8221290276,1.98298552425
701333-26643,66.069,-162.764,US,-15.5863636364,44.2860247222,2.77030381697
723628-93942,31.178,-99.324,US,4.70833333333,42.2618392751,2.38867758569
725053-94728,40.779,-73.969,US,7.89583333333,91.7058089345,1.90178207601
725050-04781,40.794,-73.102,US,7.9625,93.569439239,1.88448146133
723403-13963,34.727,-92.239,US,6.34583333333,64.8176843596,2.16295518486
