station,lat,loc,country,air,rh,R
720483-99999,39.096,-93.203,US,2.2,85.4729779149,2.06723984949
724586-03919,38.8,-97.65,US,3.14583333333,54.4688753379,2.31465996627
720425-99999,37.163,-101.371,US,3.17083333333,56.8672670512,2.29359026537
726413-04875,43.417,-88.133,US,-0.590909090909,83.7819555334,2.13661809425
725229-04858,40.023,-82.463,US,8.85833333333,67.023444054,2.09463401668
727449-04954,46.419,-92.804,US,-7.47826086957,66.0950731442,2.42377688112
724765-93013,38.506,-107.899,US,0.25,56.9622095686,2.3501992419
999999-93804,34.917,-81.95,US,11.1304347826,80.7890903484,1.93185525698
724107-53895,36.766,-80.823,US,8.37692307692,93.3489816962,1.87822542935
726836-04201,45.773,-122.861,US,3.9625,80.5293486283,2.07500543877
721011-99999,47.967,-100.581,US,-14.375,68.4025397264,2.53956870915
722166-93845,30.783,-83.277,US,18.1125,87.6349107363,1.73585071588
720305-53964,33.254,-97.581,US,13.0208333333,60.850433427,2.06576369786
725556-94975,42.577,-100.001,US,-3.425,80.1484852724,2.22351149636
725810-24193,40.721,-114.036,US,-2.79583333333,51.0327643364,2.46095496533
724660-93037,38.81,-104.688,US,-4.31666666667,74.7306748177,2.28752647673
724880-23185,39.484,-119.771,US,3.05416666667,27.4796025148,2.54803009376
726370-14826,42.967,-83.749,US,1.685,76.3123862035,2.15596262637
725127-04726,40.316,-78.834,US,4.85,60.8710692681,2.22622522568
720932-00317,31.606,-90.409,US,18.6086956522,97.7553125647,1.63926246167
726563-94969,44.333,-93.317,US,-6.04347826087,83.952881984,2.24234905519
747810-13857,30.967,-83.2,US,17.9791666667,89.2118364355,1.72494202672
725970-24225,42.381,-122.872,US,3.38333333333,66.3368810621,2.20816322715
720855-00283,48.784,-97.632,US,-14.652173913,70.668165004,2.5255788834
747355-53997,31.917,-98.6,US,13.0,69.6386381809,1.99077048441
701338-99999,61.533,-165.583,US,-4.675,95.4525963305,2.11677722348
725104-04843,41.626,-80.215,US,3.95,73.2580319111,2.1376390862
701333-26643,66.069,-162.764,US,-5.67368421053,55.9511527734,2.47533374078
723628-93942,31.178,-99.324,US,13.875,69.7578763642,1.9725449208
725053-94728,40.779,-73.969,US,5.575,61.4912850401,2.20665027436
725050-04781,40.794,-73.102,US,4.2625,76.9978261447,2.09940790168
723403-13963,34.727,-92.239,US,13.2260869565,90.6428745243,1.80610926702
727584-94038,46.014,-102.655,US,-10.0666666667,80.6163409903,2.35007246097
727417-54825,45.407,-83.813,US,-1.71304347826,85.864638074,2.14080984011
