station,lat,loc,country,air,rh,R
720483-99999,39.096,-93.203,US,1.77777777778,92.508688631,2.01517434043
724586-03919,38.8,-97.65,US,3.21666666667,68.4641526074,2.19318790396
720425-99999,37.163,-101.371,US,-0.483333333333,80.0864573966,2.16621052887
726413-04875,43.417,-88.133,US,0.173913043478,82.0753414007,2.13622444035
A00015-53129,36.96,-113.014,US,2.33333333333,54.9271524699,2.32670169847
725229-04858,40.023,-82.463,US,6.45833333333,85.9583766616,1.97935629491
727449-04954,46.419,-92.804,US,-1.83333333333,61.2368172514,2.35448144132
724765-93013,38.506,-107.899,US,-2.5375,46.1432478688,2.49782818329
999999-93804,34.917,-81.95,US,9.66666666667,91.9099459015,1.8652159975
724107-53895,36.766,-80.823,US,8.52916666667,88.4348546348,1.91739553057
726836-04201,45.773,-122.861,US,3.60416666667,85.7662195808,2.03711791933
721011-99999,47.967,-100.581,US,-4.1875,82.5372332666,2.21800678857
722166-93845,30.783,-83.277,US,18.7291666667,84.5087772629,1.75054927442
720305-53964,33.254,-97.581,US,9.31666666667,65.2289913263,2.10101958775
725556-94975,42.577,-100.001,US,-1.35416666667,81.1628198177,2.17409592263
725810-24193,40.721,-114.036,US,2.03333333333,33.9727131638,2.51238878772
724660-93037,38.81,-104.688,US,-4.08333333333,38.452599722,2.59420502772
724880-23185,39.484,-119.771,US,5.6375,23.6930627863,2.52973027129
726370-14826,42.967,-83.749,US,3.02173913043,72.6405257175,2.16118689804
725127-04726,40.316,-78.834,US,6.22916666667,63.4626436335,2.17687510096
720932-00317,31.606,-90.409,US,14.5217391304,92.007216579,1.76893069045
726563-94969,44.333,-93.317,US,-0.875,63.5790323976,2.31554440203
747810-13857,30.967,-83.2,US,18.3041666667,87.0591657345,1.73702244133
725970-24225,42.381,-122.872,US,5.4875,53.1033379343,2.28033911052
720855-00283,48.784,-97.632,US,-7.95833333333,77.912896376,2.33181818243
747355-53997,31.917,-98.6,US,10.1428571429,66.2970413179,2.07561281406
701338-99999,61.533,-165.583,US,-13.0166666667,76.2789185966,2.44528454511
725104-04843,41.626,-80.215,US,5.74166666667,74.94421348,2.08794748167
701333-26643,66.069,-162.764,US,-6.25789473684,40.8304493152,2.6165549554
723628-93942,31.178,-99.324,US,10.75,56.0585700884,2.15152246864
725053-94728,40.779,-73.969,US,9.61666666667,69.3166369734,2.0600495881
725050-04781,40.794,-73.102,US,7.6625,89.491180506,1.92537092126
723403-13963,34.727,-92.239,US,11.0,67.2164876389,2.05087253606
