station,lat,loc,country,air,rh,R
720483-99999,39.096,-93.203,US,7.08333333333,94.2544899193,1.89588814316
724586-03919,38.8,-97.65,US,5.04166666667,82.0000792866,2.04117015305
720425-99999,37.163,-101.371,US,4.7375,35.3058433945,2.44778661368
726413-04875,43.417,-88.133,US,-1.04166666667,92.6109579981,2.06972714704
A00015-53129,36.96,-113.014,US,2.20833333333,64.6337796396,2.24587633736
725229-04858,40.023,-82.463,US,3.10416666667,87.2227501531,2.03445088702
727449-04954,46.419,-92.804,US,-10.875,82.2926802374,2.35158130356
724765-93013,38.506,-107.899,US,-1.26666666667,52.7145347098,2.41646195886
999999-93804,34.917,-81.95,US,15.0,89.4111915476,1.78180197652
724107-53895,36.766,-80.823,US,11.2347826087,86.5295072006,1.88055100213
726836-04201,45.773,-122.861,US,0.854166666667,79.5730112895,2.14432064647
721011-99999,47.967,-100.581,US,-23.6652173913,67.208662626,2.73245784858
722166-93845,30.783,-83.277,US,19.7458333333,86.2017386471,1.71603599907
720305-53964,33.254,-97.581,US,18.5458333333,85.18871771,1.74831971872
725556-94975,42.577,-100.001,US,-9.925,74.2178197957,2.40218660615
725810-24193,40.721,-114.036,US,-2.59166666667,66.5780819541,2.3235622235
724660-93037,38.81,-104.688,US,3.08333333333,23.3610091396,2.58279420825
724880-23185,39.484,-119.771,US,-1.11666666667,48.0865612395,2.45322097123
726370-14826,42.967,-83.749,US,2.47,70.5440845436,2.19002155462
725127-04726,40.316,-78.834,US,5.76666666667,70.770714128,2.12326460612
720932-00317,31.606,-90.409,US,19.9583333333,92.8478138289,1.65483492401
726563-94969,44.333,-93.317,US,-9.29166666667,89.5891803243,2.25784899948
747810-13857,30.967,-83.2,US,20.4458333333,85.7090876183,1.7065009449
725970-24225,42.381,-122.872,US,1.2,86.4140870851,2.07882513281
720855-00283,48.784,-97.632,US,-21.4583333333,65.8672372276,2.70057993792
701338-99999,61.533,-165.583,US,-10.5166666667,90.5913126774,2.27333420389
725104-04843,41.626,-80.215,US,3.3125,73.4023422491,2.1489341535
723628-93942,31.178,-99.324,US,19.375,78.4756995039,1.78961599826
725053-94728,40.779,-73.969,US,7.20833333333,73.0495510173,2.07536901894
725050-04781,40.794,-73.102,US,6.92916666667,79.755727428,2.023318442
723403-13963,34.727,-92.239,US,12.8833333333,98.8747943204,1.7422179314
725753-99999,41.05,-113.07,US,-4.0,64.5718329841,2.368463673
727584-94038,46.014,-102.655,US,-22.3125,72.2399039338,2.66269537425
727417-54825,45.407,-83.813,US,0.116666666667,79.4411639216,2.15995114689
724796-94128,41.787,-111.853,US,-5.4125,83.4053607859,2.23464175446
725637-99999,42.806,-102.175,US,-10.3458333333,78.0119518307,2.37790653663
722120-12833,29.633,-83.105,US,19.8458333333,86.953888115,1.70761655664
721001-99999,47.333,-112.1,US,-20.3869565217,72.6006656907,2.62174385359
720866-00292,47.29,-101.581,US,-23.0,66.3286055948,2.726930564
725434-54789,41.139,-75.379,US,2.6625,81.1382875584,2.09533874275
726384-14817,44.283,-85.417,US,-0.3125,87.7881667682,2.09677127913
785510-11624,17.7,-64.813,US,25.3666666667,75.5926615062,1.69655629761
722506-12959,26.184,-98.254,US,25.3625,75.4896985843,1.69752163615
720887-00297,46.117,-89.883,US,-6.45833333333,86.256321833,2.23074159201
720492-00151,44.567,-72.017,US,-0.154166666667,90.1430401799,2.07345363192
724298-04850,40.708,-84.027,US,3.5,92.2588936294,1.98345869266
725316-03887,39.834,-88.866,US,5.025,91.1617234523,1.96289091278
722689-23077,34.433,-103.083,US,6.975,29.3252828636,2.45511057303
723626-03737,36.399,-76.016,US,13.1291666667,92.6116301349,1.79112279678
727883-24220,47.034,-120.53,US,-9.60833333333,74.7639521822,2.39127512361
723815-23161,34.854,-116.786,US,8.65,50.042835167,2.24442347427
703061-25521,59.324,-155.902,US,-10.4875,77.4562621382,2.38545952085
726515-94902,44.3,-96.8,US,-13.9833333333,82.5229182575,2.41071569468
725175-64706,40.633,-79.1,US,6.58333333333,77.5805064572,2.04878092126
720863-00289,48.381,-102.898,US,-26.5,72.6499610416,2.74150333426
727507-54904,45.332,-95.651,US,-15.8333333333,79.4279361478,2.47364164118
725314-03960,38.571,-90.157,US,8.43333333333,90.1145130771,1.90486814447
722540-13904,30.183,-97.68,US,22.3583333333,84.7253964429,1.67734126519
722899-03179,33.975,-117.636,US,9.7875,82.850471774,1.94057070218
726480-94853,45.733,-87.083,US,-1.45833333333,74.159750006,2.23623017828
726228-94740,44.385,-74.207,US,-0.7125,86.6754421291,2.11418245653
722330-53865,30.343,-89.822,US,21.775,86.3423903615,1.6749357907
724678-94033,40.517,-106.867,US,-5.83333333333,79.1257525294,2.27963437663
702626-99999,57.58,-157.58,US,-10.35,88.5232590522,2.28780143733
720572-99999,40.612,-112.351,US,-2.41666666667,67.3537845719,2.31346619504
747940-12868,28.483,-80.567,US,22.0916666667,85.1315149899,1.67909943472
720864-00290,35.937,-77.547,US,15.5260869565,87.9177551066,1.78427279162
724955-93227,38.21,-122.285,US,4.29565217391,87.2780632236,2.0105516958
723147-53870,35.197,-81.156,US,16.1458333333,85.5718537139,1.7922164118
722470-03901,32.385,-94.712,US,19.8208333333,86.8051623146,1.70938412401
723083-13763,36.698,-76.903,US,13.652173913,89.136483966,1.81065722844
720255-99999,36.909,-94.888,US,12.2608695652,88.2085282618,1.84597213186
725407-04854,45.013,-84.701,US,-0.995833333333,82.6196441579,2.15455153646
727468-04928,47.783,-93.65,US,-17.9583333333,78.1911741613,2.52603055903
A00016-03036,37.583,-109.483,US,0.4125,54.2623749666,2.37016907279
747806-63809,32.955,-84.264,US,16.7916666667,91.7056504062,1.72689135285
720477-99999,37.648,-92.652,US,10.9130434783,86.6372048282,1.88595234779
725705-94030,40.443,-109.513,US,-9.54166666667,68.9798892778,2.43959171666
723526-03932,35.357,-99.204,US,8.75833333333,67.6587296755,2.09114926605
725360-94830,41.587,-83.806,US,2.05416666667,83.5080137144,2.08696632566
703656-99999,59.75,-161.833,US,-13.680952381,87.0269024077,2.36612670115
725114-93778,39.918,-76.874,US,6.52083333333,82.7015775688,2.00607088113
726679-04969,45.698,-92.953,US,-9.6375,82.8597707021,2.32238641738
724090-14780,40.033,-74.35,US,7.52083333333,83.9860347914,1.97539023816
720353-63875,36.611,-83.738,US,13.725,99.7901410087,1.71781709015
725383-54827,41.817,-85.433,US,1.23333333333,95.0924208065,2.00370969615
723116-03742,34.466,-79.89,US,18.0789473684,89.259610658,1.72257043529
720724-99999,34.646,-106.836,US,5.09166666667,28.0329949637,2.50322473654
720775-99999,35.507,-86.804,US,16.625,94.5610962551,1.70566829413
747185-03144,32.834,-115.579,US,10.9416666667,57.0385714618,2.13934589019
724067-93744,39.333,-76.417,US,7.1875,96.9466812047,1.87074122526
722220-99999,30.483,-87.183,US,20.125,90.6742473013,1.67020745815
725830-24128,40.902,-117.808,US,-0.491666666667,48.9151445987,2.43382422601
720542-00166,30.5,-97.967,US,20.6916666667,90.6419836804,1.65934361336
