station,lat,loc,country,air,rh,R
720483-99999,39.096,-93.203,US,1.75,66.3998045647,2.23973467684
724586-03919,38.8,-97.65,US,0.970833333333,61.9445611529,2.29327908198
720425-99999,37.163,-101.371,US,1.05833333333,59.9966162333,2.30827219938
726413-04875,43.417,-88.133,US,0.125,63.092870004,2.30005567537
A00015-53129,36.96,-113.014,US,1.375,75.9993512698,2.16474306611
725229-04858,40.023,-82.463,US,4.175,63.7266485797,2.21499485519
727449-04954,46.419,-92.804,US,-4.04166666667,71.9201149925,2.30623458003
724765-93013,38.506,-107.899,US,-7.95833333333,85.0013720516,2.27099906113
999999-93804,34.917,-81.95,US,7.75,49.6079895056,2.26584845004
724107-53895,36.766,-80.823,US,3.07368421053,56.9381969693,2.29489163842
726836-04201,45.773,-122.861,US,7.425,87.7807701531,1.94471549209
721011-99999,47.967,-100.581,US,-4.705,74.4229008856,2.2978018104
722166-93845,30.783,-83.277,US,7.94347826087,71.1985452045,2.07679769954
720305-53964,33.254,-97.581,US,10.5708333333,47.0683723888,2.23218078157
725556-94975,42.577,-100.001,US,1.65833333333,73.4645713884,2.18092114415
725810-24193,40.721,-114.036,US,0.595833333333,63.3211483563,2.28884046377
724660-93037,38.81,-104.688,US,1.41666666667,28.365466979,2.57262262665
724880-23185,39.484,-119.771,US,1.05416666667,52.6568474453,2.37132933225
726370-14826,42.967,-83.749,US,2.78636363636,58.852436829,2.28411618292
725127-04726,40.316,-78.834,US,0.395833333333,65.3444764556,2.27541230868
720932-00317,31.606,-90.409,US,12.652173913,74.986769718,1.95172177669
726563-94969,44.333,-93.317,US,-3.29166666667,76.7998298464,2.24962162658
747810-13857,30.967,-83.2,US,8.97826086957,67.4791143515,2.08836659017
725970-24225,42.381,-122.872,US,4.67083333333,83.8712073946,2.03240645722
720855-00283,48.784,-97.632,US,-5.21739130435,70.0004140805,2.34582036023
701338-99999,61.533,-165.583,US,-26.5333333333,78.0068082572,2.69619691849
725104-04843,41.626,-80.215,US,0.633333333333,70.1425653667,2.22957545582
701333-26643,66.069,-162.764,US,-33.5791666667,80.0177055209,2.8174645033
723628-93942,31.178,-99.324,US,9.875,47.2966681221,2.24390208751
725053-94728,40.779,-73.969,US,2.7875,61.211047285,2.26385696429
725050-04781,40.794,-73.102,US,2.39166666667,65.8180095776,2.23211131116
723403-13963,34.727,-92.239,US,7.66666666667,65.7956741618,2.12859644903
727584-94038,46.014,-102.655,US,-3.79583333333,66.8307831236,2.34506796413
727417-54825,45.407,-83.813,US,-1.4625,72.3755561203,2.25162047849
724796-94128,41.787,-111.853,US,-1.48333333333,75.6346855193,2.22406673158
725637-99999,42.806,-102.175,US,-0.633333333333,64.8289873497,2.30006862187
722120-12833,29.633,-83.105,US,8.01666666667,73.4010350883,2.05646145228
721001-99999,47.333,-112.1,US,-1.74166666667,53.179251044,2.42181319271
720866-00292,47.29,-101.581,US,-6.05263157895,84.8593485277,2.23475152647
725434-54789,41.139,-75.379,US,-1.85416666667,85.5356566396,2.1464069827
726384-14817,44.283,-85.417,US,-1.59583333333,68.9094268229,2.28398120119
785510-11624,17.7,-64.813,US,25.2541666667,76.5803133779,1.69029399455
723264-99999,35.964,-83.874,US,5.83333333333,64.8207998065,2.17300420433
722506-12959,26.184,-98.254,US,17.0666666667,68.4750345195,1.92080353716
720887-00297,46.117,-89.883,US,-5.06086956522,73.8422510069,2.30978018201
720492-00151,44.567,-72.017,US,-9.66666666667,86.6873987475,2.29011878541
724298-04850,40.708,-84.027,US,2.51666666667,68.6540697985,2.20532041446
725316-03887,39.834,-88.866,US,1.75416666667,61.2377491394,2.28394319572
722689-23077,34.433,-103.083,US,4.04583333333,48.6214808698,2.3471366108
723626-03737,36.399,-76.016,US,5.36842105263,80.0179250106,2.05175304551
727883-24220,47.034,-120.53,US,2.72083333333,74.6182216931,2.15013407454
723815-23161,34.854,-116.786,US,8.8,54.5244107057,2.20302255614
703061-25521,59.324,-155.902,US,-30.475,73.4921586938,2.81242577841
726515-94902,44.3,-96.8,US,-4.54583333333,88.0308614333,2.17791629224
725175-64706,40.633,-79.1,US,2.08695652174,70.8941998291,2.19454820025
720863-00289,48.381,-102.898,US,-5.34782608696,86.7479168998,2.20469113387
727507-54904,45.332,-95.651,US,-6.95833333333,81.2649706376,2.28339738526
725314-03960,38.571,-90.157,US,3.35,58.5083996687,2.27598693084
722540-13904,30.183,-97.68,US,12.6125,61.8904598624,2.06486810438
722899-03179,33.975,-117.636,US,13.425,51.3133007346,2.1396463797
726480-94853,45.733,-87.083,US,-2.1625,65.1417262637,2.32744873866
726228-94740,44.385,-74.207,US,-9.55416666667,82.1697342633,2.32666859669
722330-53865,30.343,-89.822,US,11.675,73.5512741892,1.98324956746
