,x
2019/1/1,1.61664974454
2019/1/2,1.83913962671
2019/1/3,1.92422860044
2019/1/4,1.74302896851
2019/1/5,1.72240342149
2019/1/6,1.44494764643
2019/1/7,1.758049336
2019/1/8,1.69270425423
2019/1/9,1.73853734896
2019/1/10,1.67785065164
2019/1/11,1.78939859207
2019/1/12,1.76736391955
2019/1/13,1.6106170739
2019/1/14,1.83346981374
2019/1/15,1.55038526217
2019/1/16,1.67005897624
2019/1/17,1.78231299816
2019/1/18,1.87003188802
2019/1/19,1.93371112895
2019/1/20,2.02998223287
2019/1/21,1.96679064382
2019/1/22,1.78155074901
2019/1/23,1.54672751509
2019/1/24,1.4938928171
2019/1/25,1.86692873956
2019/1/26,2.21699173172
2019/1/27,2.17276382502
2019/1/28,2.19690138638
2019/1/29,1.88073436965
2019/1/30,1.59889056882
2019/1/31,1.50915971216
2019/2/1,1.55153816921
2019/2/2,1.67485499583
2019/2/3,1.53444184675
2019/2/4,1.67556495588
2019/2/5,1.87775051967
2019/2/6,2.13318190414
2019/2/7,2.21151153024
2019/2/8,2.03471793576
2019/2/9,2.02721472738
2019/2/10,1.91489503444
2019/2/11,1.89207545137
2019/2/12,1.94191320794
2019/2/13,1.99162826771
2019/2/14,1.8578114699
2019/2/15,1.89542105813
2019/2/16,2.00579393832
2019/2/17,1.76880114851
2019/2/18,2.05331806987
2019/2/19,1.87307683841
2019/2/20,2.00890910565
2019/2/21,1.99708725238
2019/2/22,1.80609431766
2019/2/23,1.57927193038
2019/2/24,1.67714502151
2019/2/25,1.78014610106
2019/2/26,1.83393860315
2019/2/27,1.6586572237
2019/2/28,2.08258562103
2019/3/1,1.77273473592
2019/3/2,2.13236109558
2019/3/3,2.01009028444
2019/3/4,2.10469451617
2019/3/5,1.91004773824
2019/3/6,1.60128505727
2019/3/7,1.67746645506
2019/3/8,1.84038785809
2019/3/9,1.96088508015
2019/3/10,1.89009172506
2019/3/11,1.82593109531
2019/3/12,1.89901521591
2019/3/13,1.57269637278
2019/3/14,1.81850140091
2019/3/15,1.85269794645
2019/3/16,1.7891254013
2019/3/17,1.69261885221
2019/3/18,2.19908671453
2019/3/19,1.99497780705
2019/3/20,1.69633437126
2019/3/21,1.58460486715
2019/3/22,1.8417582584
2019/3/23,1.84678912282
2019/3/24,1.76991549145
2019/3/25,1.95510086771
2019/3/26,1.90250775516
2019/3/27,1.23225355588
2019/3/28,1.25421219941
2019/3/29,1.64428941278
2019/3/30,1.9624653489
2019/3/31,2.19162810467
2019/4/1,2.12364926975
2019/4/2,1.45179467876
2019/4/3,1.77978664438
2019/4/4,2.16436443921
2019/4/5,1.92720273187
2019/4/6,2.07621171612
2019/4/7,2.21382016684
2019/4/8,1.79672125837
2019/4/9,1.88284324464
2019/4/10,1.75098877331
2019/4/11,1.68392993227
2019/4/12,1.70293793526
2019/4/13,1.58642113819
2019/4/14,1.69131133569
2019/4/15,1.7487534945
2019/4/16,1.89235639763
2019/4/17,2.09559812018
2019/4/18,2.21281309751
2019/4/19,2.2655675126
2019/4/20,2.14160181973
2019/4/21,2.07938246442
2019/4/22,1.90673480936
2019/4/23,1.68477825294
2019/4/24,1.89858044695
2019/4/25,1.97055639722
2019/4/26,1.80200143353
2019/4/27,1.89780646331
2019/4/28,1.73955839129
2019/4/29,1.83647700149
2019/4/30,1.89484280321
2019/5/1,1.73321767704
2019/5/2,1.73786291544
2019/5/3,1.62315099145
2019/5/4,1.60866485502
2019/5/5,1.7296356923
2019/5/6,1.76795427687
2019/5/7,1.67811089858
2019/5/8,1.71313158134
2019/5/9,1.34189450927
2019/5/10,1.82029317127
2019/5/11,1.78192822351
2019/5/12,1.75118770959
2019/5/13,1.97485379467
2019/5/14,1.85360597585
2019/5/15,1.91990159629
2019/5/16,1.74816548987
2019/5/17,1.65212695677
2019/5/18,1.63991846668
2019/5/19,1.77348026141
2019/5/20,1.44733069421
2019/5/21,1.37381288211
2019/5/22,1.52987715895
2019/5/23,1.75417658173
2019/5/24,1.77444176654
2019/5/25,1.64319011981
2019/5/26,1.52611919081
2019/5/27,1.69006904691
2019/5/28,1.68759453379
2019/5/29,1.72722738701
2019/5/30,1.77295899746
2019/5/31,1.67699157527
2019/6/1,1.68779200453
2019/6/2,1.7430489184
2019/6/3,1.58716248733
2019/6/4,1.69530100486
