city,country,R2019,num,R2020,index
Algiers,Algeria,1.77981764972,8/10,,95
Algiers,Algeria,1.63244638932,8/20,,96
Algiers,Algeria,1.6549317732,9/1,,97
Algiers,Algeria,1.68451667477,9/10,,98
Algiers,Algeria,1.7697971372,9/20,,99
Algiers,Algeria,1.83812096321,10/1,,100
Algiers,Algeria,1.86362412937,10/10,,101
Algiers,Algeria,1.78576106396,10/20,,102
Algiers,Algeria,1.8587802179,11/1,,103
Algiers,Algeria,1.93851883199,11/10,,104
Algiers,Algeria,1.90209424191,11/20,,105
Algiers,Algeria,1.87359086851,12/1,,106
Algiers,Algeria,1.94059982522,12/10,,107
Algiers,Algeria,1.94788361908,12/20,,108
Amsterdam,Netherlands,2.02241856823,1/1,1.9201621755036078,109
Amsterdam,Netherlands,1.99481301815,1/10,1.973245875852412,110
Amsterdam,Netherlands,2.07031779236,1/20,1.9596564081070138,111
Amsterdam,Netherlands,1.98878491531,2/1,1.985291955070957,112
Amsterdam,Netherlands,2.01657603047,2/10,2.0381850442856164,113
Amsterdam,Netherlands,2.02203136295,2/20,2.003014130816729,114
Amsterdam,Netherlands,1.97068014624,3/1,2.0015882110791643,115
Amsterdam,Netherlands,2.02249658459,3/10,1.9818692812015475,116
Amsterdam,Netherlands,1.97056352951,3/20,2.2443545891006154,117
Amsterdam,Netherlands,2.0240226472,4/1,2.0666185195097224,118
Amsterdam,Netherlands,2.1296214952,4/10,2.101151244328358,119
Amsterdam,Netherlands,1.99449265893,4/20,2.0618227636029745,120
Amsterdam,Netherlands,2.0116807784,5/1,2.0089613207688894,121
Amsterdam,Netherlands,2.01510211856,5/10,2.0628946587124686,122
Amsterdam,Netherlands,1.92119727287,5/20,1.963229266196812,123
Amsterdam,Netherlands,1.89701503077,6/1,1.9536565681119709,124
Amsterdam,Netherlands,1.84440511905,6/10,1.826203315531787,125
Amsterdam,Netherlands,1.84202808516,6/20,1.8899828970759267,126
Amsterdam,Netherlands,1.93660531291,7/1,1.8439115041596663,127
Amsterdam,Netherlands,1.83148652553,7/10,1.8439115041596663,128
Amsterdam,Netherlands,1.81562007036,7/20,,129
Amsterdam,Netherlands,1.80280262931,8/1,,130
Amsterdam,Netherlands,1.8413565367,8/10,,131
Amsterdam,Netherlands,1.84285914883,8/20,,132
Amsterdam,Netherlands,1.9117608365,9/1,,133
Amsterdam,Netherlands,1.87667958217,9/10,,134
Amsterdam,Netherlands,1.83536792073,9/20,,135
Amsterdam,Netherlands,1.88542663652,10/1,,136
Amsterdam,Netherlands,1.82959837848,10/10,,137
Amsterdam,Netherlands,1.91117138375,10/20,,138
Amsterdam,Netherlands,1.90709520003,11/1,,139
Amsterdam,Netherlands,1.98215913794,11/10,,140
Amsterdam,Netherlands,1.95599831279,11/20,,141
Amsterdam,Netherlands,1.97138978805,12/1,,142
Amsterdam,Netherlands,1.9694645984,12/10,,143
Amsterdam,Netherlands,1.97737228021,12/20,,144
Ankara,Turkey,2.19511625217,1/1,2.1532784757251453,145
Ankara,Turkey,2.1374203029,1/10,2.225328164595952,146
Ankara,Turkey,2.08735094861,1/20,2.2408164531993786,147
Ankara,Turkey,2.08936341898,2/1,2.168336634233095,148
Ankara,Turkey,2.16601731367,2/10,2.265912830893998,149
Ankara,Turkey,2.20418372129,2/20,2.173795178651406,150
Ankara,Turkey,2.24882216485,3/1,2.2060519255965763,151
Ankara,Turkey,2.10685581317,3/10,2.2165191658197707,152
Ankara,Turkey,2.33519008839,3/20,2.136635926997012,153
Ankara,Turkey,2.19329918976,4/1,2.1557677299377898,154
Ankara,Turkey,2.06750458407,4/10,2.2430306920716125,155
Ankara,Turkey,2.1623472827,4/20,2.2260642421919723,156
Ankara,Turkey,2.09409115229,5/1,2.0490385322125704,157
Ankara,Turkey,2.06029769506,5/10,2.1060307498572666,158
Ankara,Turkey,2.02345168694,5/20,2.110822516620684,159
Ankara,Turkey,1.99804183854,6/1,2.106517890319304,160
Ankara,Turkey,1.90907558959,6/10,1.9284938414182147,161
Ankara,Turkey,1.96375554925,6/20,1.9796607375541593,162
Ankara,Turkey,2.06566192993,7/1,2.0100013159893058,163
Ankara,Turkey,1.97882798911,7/10,2.0100013159893058,164
Ankara,Turkey,2.04643339691,7/20,,165
Ankara,Turkey,2.05967478697,8/1,,166
Ankara,Turkey,2.02372946619,8/10,,167
Ankara,Turkey,1.98720358933,8/20,,168
Ankara,Turkey,2.07539597663,9/1,,169
Ankara,Turkey,2.13072447305,9/10,,170
Ankara,Turkey,2.14628739607,9/20,,171
Ankara,Turkey,2.11814919108,10/1,,172
Ankara,Turkey,2.10568073369,10/10,,173
Ankara,Turkey,2.09972863969,10/20,,174
Ankara,Turkey,2.11378959478,11/1,,175
Ankara,Turkey,2.17098459893,11/10,,176
Ankara,Turkey,2.13518067953,11/20,,177
Ankara,Turkey,2.12937166478,12/1,,178
Ankara,Turkey,2.02824203274,12/10,,179
Ankara,Turkey,2.08013812482,12/20,,180
Asuncion,Paraguay,1.61203688758,1/1,1.6844081132025257,181
Asuncion,Paraguay,1.66859881968,1/10,1.6094340629589297,182
Asuncion,Paraguay,1.71316271327,1/20,1.7000026732512936,183
Asuncion,Paraguay,1.76619403725,2/1,1.6546750557067134,184
Asuncion,Paraguay,1.69237796148,2/10,1.6866034972961856,185
Asuncion,Paraguay,1.74517526851,2/20,1.854792070560714,186
Asuncion,Paraguay,1.72600120116,3/1,1.8756380009886204,187
Asuncion,Paraguay,1.61881156244,3/10,1.781713900770659,188
Asuncion,Paraguay,1.77636961206,3/20,1.7976108309428802,189
Asuncion,Paraguay,1.68548128015,4/1,1.857111292769125,190
Asuncion,Paraguay,1.7164068629,4/10,1.9290071701231746,191
Asuncion,Paraguay,1.63113967675,4/20,1.8457691223656532,192
Asuncion,Paraguay,1.62814700487,5/1,1.923781056167049,193
Asuncion,Paraguay,1.75946237345,5/10,1.880069538507751,194
Asuncion,Paraguay,1.71161879942,5/20,1.8910284604282823,195
Asuncion,Paraguay,1.79270044797,6/1,1.8393229114325846,196
Asuncion,Paraguay,1.77316405747,6/10,1.8149070377224334,197
Asuncion,Paraguay,1.83758033502,6/20,1.8565627259637945,198
Asuncion,Paraguay,2.01885634138,7/1,1.8954647639348896,199
Asuncion,Paraguay,1.90037405818,7/10,1.8954647639348896,200
Asuncion,Paraguay,1.84989637164,7/20,,201
Asuncion,Paraguay,1.94030527576,8/1,,202
Asuncion,Paraguay,1.94984899365,8/10,,203
Asuncion,Paraguay,1.90188086044,8/20,,204
Asuncion,Paraguay,1.96601057324,9/1,,205
Asuncion,Paraguay,1.83294665229,9/10,,206
Asuncion,Paraguay,1.98098008159,9/20,,207
Asuncion,Paraguay,1.79508419337,10/1,,208
Asuncion,Paraguay,1.75760844243,10/10,,209
Asuncion,Paraguay,1.83637476676,10/20,,210
Asuncion,Paraguay,1.70686021981,11/1,,211
Asuncion,Paraguay,1.78024104557,11/10,,212
Asuncion,Paraguay,1.79620042711,11/20,,213
Asuncion,Paraguay,1.83411208367,12/1,,214
Asuncion,Paraguay,1.72514095076,12/10,,215
Asuncion,Paraguay,1.71195185368,12/20,,216
Athens,Greece,2.15659620997,1/1,2.1827172472956717,217
Athens,Greece,2.07160602323,1/10,2.084658822192762,218
Athens,Greece,1.94412314802,1/20,2.064402420678202,219
Athens,Greece,1.97707434181,2/1,2.0577429694389826,220
Athens,Greece,2.07513544445,2/10,2.037768470699576,221
Athens,Greece,2.09621693256,2/20,2.083626725697458,222
Athens,Greece,2.01477666079,3/1,1.984919786282894,223
Athens,Greece,1.99794189539,3/10,2.1243245454976054,224
Athens,Greece,2.15214957584,3/20,2.0056961388947334,225
Athens,Greece,2.03964656686,4/1,2.0880677469513813,226
Athens,Greece,1.96400842284,4/10,2.1086434063940542,227
Athens,Greece,1.98436474037,4/20,2.025321820865526,228
Athens,Greece,1.97695560186,5/1,2.039763333823474,229
Athens,Greece,1.89903448571,5/10,1.915519447177721,230
Athens,Greece,1.91948822653,5/20,1.9473914874322602,231
Athens,Greece,1.88637647689,6/1,1.874498640285581,232
Athens,Greece,1.85773963234,6/10,1.9163147922836103,233
Athens,Greece,1.88186019008,6/20,1.8933019049142439,234
Athens,Greece,1.88992085643,7/1,1.8368079247474736,235
Athens,Greece,1.87726586525,7/10,1.8368079247474736,236
Athens,Greece,1.92480210698,7/20,,237
Athens,Greece,1.92003339669,8/1,,238
Athens,Greece,1.9318931509,8/10,,239
Athens,Greece,1.97497539194,8/20,,240
Athens,Greece,2.00397497696,9/1,,241
Athens,Greece,1.96090767872,9/10,,242
Athens,Greece,1.85711300162,9/20,,243
Athens,Greece,1.83007480723,10/1,,244
Athens,Greece,1.85026512656,10/10,,245
Athens,Greece,1.96327947668,10/20,,246
Athens,Greece,1.83119163674,11/1,,247
Athens,Greece,1.82691421244,11/10,,248
Athens,Greece,1.87965450984,11/20,,249
Athens,Greece,2.00513926817,12/1,,250
Athens,Greece,1.85836796181,12/10,,251
Athens,Greece,2.0514306957,12/20,,252
Bangkok,Thailand,1.68843207544,1/1,1.701079761367401,253
Bangkok,Thailand,1.65758232006,1/10,1.6173499758485945,254
Bangkok,Thailand,1.7641030131,1/20,1.6650760014379802,255
Bangkok,Thailand,1.62494876033,2/1,1.6413194301519312,256
Bangkok,Thailand,1.6348561253,2/10,1.6753661426566757,257
Bangkok,Thailand,1.62950063522,2/20,1.6787058328479827,258
Bangkok,Thailand,1.63037180742,3/1,1.6173024439338035,259
Bangkok,Thailand,1.61032134527,3/10,1.5936258051476542,260
Bangkok,Thailand,1.5861878466,3/20,1.6095671044418811,261
Bangkok,Thailand,1.60321781198,4/1,1.5886495672243528,262
Bangkok,Thailand,1.56735685639,4/10,1.6225391760165966,263
Bangkok,Thailand,1.60314751476,4/20,1.6361998101573414,264
Bangkok,Thailand,1.65735072596,5/1,1.6088345567492388,265
Bangkok,Thailand,1.61822260732,5/10,1.624503109945636,266
Bangkok,Thailand,1.59306862036,5/20,1.6074050861046774,267
Bangkok,Thailand,1.58045685366,6/1,1.5949207314289993,268
Bangkok,Thailand,1.59758862235,6/10,1.6005385151456966,269
Bangkok,Thailand,1.59350760268,6/20,1.6149541529862865,270
