lat,lon,R-value
-124.29,42.074,1.9356407847748507
-77.856,-6.202,1.8633503124992274
42.0,50.8,1.7978622872211076
-124.05,44.583,1.8474545082055989
21.133,45.383,1.8255192404285778
-47.467,-5.55,1.7875672598324326
15.433,58.65,1.8422373814073076
-93.203,39.096,1.6565916710345738
-52.389,-15.861,1.8493588193799062
108.083,60.05,1.883493464277618
-97.65,38.8,1.7542961700769704
-2.033,43.3,1.7478750756497543
12.28,57.663,1.851862195148318
-66.967,-0.117,1.6000468476019405
38.683,58.1,2.0943490073778555
73.311,54.967,1.8064334318590436
16.267,47.967,1.8127001213335818
86.5,27.3,1.7776742181711724
-101.371,37.163,1.9040704863118143
13.583,30.383,1.8084264477976775
-88.133,43.417,1.689877136203037
-6.473,6.793,1.5846111044569666
-113.014,36.96,2.128734752889362
-82.463,40.023,1.6881697588626046
48.006,46.283,2.0929268678235724
-92.804,46.419,1.8411405898687936
76.65,10.767,1.578637313399296
-107.899,38.506,2.1481981687136704
-81.95,34.917,1.7594048758320762
-140.946,-18.075,1.6048922373187535
-77.817,0.6,1.9116504125197864
91.617,55.383,1.7393326907363464
22.466,39.65,1.9170283429710446
150.133,-36.217,2.0908630816059683
6.117,59.05,1.9561796331310959
-43.867,-16.717,1.9700883933609792
12.0,60.183,1.904365487647352
-80.823,36.766,1.6817954881309658
-122.861,45.773,1.9704605992801405
-100.581,47.967,1.8812708040352843
-83.277,30.783,1.6630112190071786
11.326,46.46,1.8515686986929882
-41.35,-21.717,1.7524427402866047
12.417,65.817,1.9710427287366779
-58.536,-34.822,2.089774918998551
-125.767,49.083,1.8583273815102497
-97.581,33.254,1.7667463691693455
-0.006,43.179,1.7473630735421257
137.817,35.517,1.842087844563115
-96.917,19.55,1.7204160847211059
146.067,-34.25,2.028310851947111
6.817,44.933,1.7588821427370118
100.75,13.517,1.5893863267190458
-100.001,42.577,1.7271761682428062
-114.036,40.721,2.083083649508982
-104.688,38.81,2.133292497087276
-119.771,39.484,2.2002151172295132
23.117,44.483,1.902445702264794
22.886,47.703,1.7603773684093822
-83.749,42.967,1.8342676591479758
153.183,-25.933,1.7983650864926517
128.5,58.633,1.9132308546683396
103.967,63.583,1.9341241397315307
24.017,-30.667,2.177967748264903
-65.1,-40.783,2.1214363009301405
-78.834,40.316,1.7465436492369384
-38.3,-7.95,1.8111126325665796
150.783,-33.6,1.9049236246954917
32.573,-25.921,1.9691577104647124
9.35,47.25,1.9462869066343367
147.083,-41.733,2.0135281805507854
-90.409,31.606,1.5633321555933202
-93.317,44.333,1.82882480013867
142.583,44.933,1.7500876223887027
119.733,53.75,1.8936018034085689
-83.2,30.967,1.6840135894396788
6.333,46.517,1.8858950283621092
36.75,56.35,1.6881988921449136
-122.872,42.381,2.0701638470853223
16.2,51.2,1.8206039066286999
-97.632,48.784,1.8583057359537647
44.717,32.55,1.914169015206625
7.35,45.733,1.8300991236439894
1.95,46.183,1.77890743885016
52.583,58.133,1.88168790548083
10.3,13.983,1.899333195912815
-165.583,61.533,1.9637074963439636
24.517,47.15,1.8517580565772906
-80.215,41.626,1.6851635143674928
116.667,-32.667,1.788337750864916
37.717,10.35,1.8516333093501947
-0.418,51.553,1.82161421487248
23.317,46.533,1.8999048963232248
14.917,37.4,1.727395012496407
-162.764,66.069,2.0465742034565224
-99.324,31.178,1.766654033811883
35.767,-16.1,1.8507884869240303
17.1,-22.567,2.415107125330129
-37.267,-7.017,1.6230884559891094
-73.969,40.779,1.6811168269484524
-74.781,10.89,1.5912489293189593
-111.733,49.867,1.857005119520777
46.017,39.533,1.882373520747776
-61.783,50.183,1.7878030246643353
-67.076,-17.963,2.2774301612917034
78.233,59.217,1.8378361723041658
8.617,46.65,1.9761636108982805
78.667,54.7,1.9491552317002419
29.25,69.15,2.0528494386957044
5.883,52.7,1.7277515697234604
-83.781,15.261,1.5773235689396432
-84.787,47.967,1.8061951063154476
128.717,37.683,1.7500491016750543
30.582,39.784,1.882228762003708
-52.1,-32.033,2.00441810927612
80.797,16.53,1.5908885323578539
82.2,51.15,2.0484023502698596
121.917,48.767,1.8993690170412092
-42.15,-6.967,1.7643889265154487
-73.102,40.794,1.627655519229658
-92.239,34.727,1.6430964333377693
-123.117,50.15,1.8426451530272305
-4.75,41.633,1.9253378967459738
-13.219,27.152,1.8341936616556203
22.267,48.633,1.7575619481622875
-54.487,-25.596,1.8741072931780156
26.633,-32.783,2.1762867483806407
25.917,56.517,2.5360832085173866
54.75,57.083,1.8797480527023118
25.3,46.3,1.8625833713339262
15.483,67.167,2.0129481488482415
92.783,26.617,1.5214734342842757
46.417,40.717,1.9113686914446144
-102.655,46.014,1.8995516898697926
23.067,69.017,2.0737458006810954
24.35,44.433,1.8861019387839617
-83.813,45.407,1.838691006802212
59.217,35.267,2.0672366402890017
-84.15,49.733,1.7507621507500628
91.917,26.65,1.4925291770705384
116.15,-34.25,1.9679253229599452
29.701,37.786,1.9549554064722203
-58.228,-26.213,2.0028129064869535
76.917,9.0,1.6310893577668142
78.583,20.667,1.626397204805908
9.406,41.924,1.778841283831731
8.2,46.85,1.7378595124971805
31.1,70.367,2.0717676294697727
-111.853,41.787,2.035596313299114
8.317,46.5,1.9036922727715315
-102.175,42.806,1.8617283847801311
4.15,49.217,1.8210018347111643
106.833,-6.183,1.6309348110366964
-38.5,-13.0,1.6706498213430485
-6.817,54.717,1.7666524218862996
127.45,36.633,1.7872720083717584
0.5,40.817,1.7325490309629996
46.433,39.2,1.6609730120755843
-70.181,-20.535,1.9202337414675767
-99.35,49.9,1.8795477330451913
15.017,68.583,2.028389444868695
5.874,36.795,1.7145709681465768
81.05,40.5,2.03569949591454
29.383,-28.367,2.2984255621983687
-149.607,-17.554,1.7205265081901444
21.633,65.817,2.1153172082877822
112.9,42.4,2.089066790409356
18.716,64.548,2.06065335260949
78.25,43.317,1.9892233181634165
26.5,-33.283,2.18219236229092
34.7,59.5,1.9229339979347038
14.15,62.5,2.0379461663629264
-83.105,29.633,1.57381882668478
91.586,26.106,1.4676511447972511
-43.133,-11.083,1.8086577808839932
72.367,27.133,1.729374448601059
125.567,-18.183,2.1157126045505046
-112.1,47.333,2.0650208691668084
-111.1,52.817,2.7290025060620087
18.99,63.408,2.028675708892138
8.291,40.632,1.7136247867111467
-111.678,54.131,1.8758464497468912
111.673,-2.705,1.5454402893832357
99.533,14.017,1.6660379767918263
8.083,46.433,1.953310883172516
-135.083,60.717,2.10529630283153
-101.581,47.29,1.820974166600668
-90.527,14.583,1.822611216930166
-22.889,16.137,1.7123174174536744
97.167,31.15,1.9716950201534662
-112.767,49.7,1.8277721819760637
140.883,-21.833,2.316832569819899
-70.605,19.406,1.6638755770725875
46.725,24.722,2.0217635217933534
-75.379,41.139,1.663109621273643
-113.35,53.65,1.8320511271011326
-85.417,44.283,1.8522189708632177
15.25,-26.683,2.0268343186883264
99.55,48.083,2.0539118285594156
-52.133,-22.65,1.7119170095297642
30.85,-24.933,2.244612585549808
-64.813,17.7,1.6366883647452544
21.567,53.083,1.7644065458147673
0.816,45.198,1.790150445434462
84.05,21.914,1.584331119261827
20.75,41.7,2.2608873472481097
29.133,-31.95,2.004303318840192
120.35,16.083,1.602701080217598
-83.874,35.964,1.694769263525044
41.686,27.438,2.0610737321050356
-1.933,49.717,1.7715646768618445
6.55,61.9,2.0197172089968234
170.983,-42.717,1.9768776319979409
89.017,62.467,1.8580779328658785
26.718,-26.871,2.229121743999243
22.867,45.0,1.7838678609125318
104.76,16.557,1.7703011601030234
9.561,47.485,1.7955222787805456
