station,lat,loc,country,air,rh,R
726950-24285,44.583,-124.05,US,9.41666666667,86.9506015275,1.91268217223
152890-99999,45.383,21.133,RO,11.4,55.0517307968,2.14738214976
818220-99999,-5.55,-47.467,BR,25.3826086957,83.335474787,1.62980953937
025610-99999,58.65,15.433,SW,8.52916666667,69.1504686429,2.08285556238
833590-99999,-15.861,-52.389,BR,30.4285714286,61.2779997474,1.71985904788
249180-99999,60.05,108.083,RS,2.3,49.1864176801,2.3766125363
724586-03919,38.8,-97.65,US,15.1541666667,42.8660699704,2.17812820299
080270-99999,43.3,-2.033,SP,11.6,99.6739981776,1.76059109564
025260-99999,57.663,12.28,SW,11.7208333333,50.265965695,2.182136431
821070-99999,-0.117,-66.967,BR,29.3333333333,76.7210128686,1.60889037625
286980-99999,54.967,73.311,RS,19.5416666667,31.0170363891,2.19353466112
110162-99999,47.967,16.267,AU,13.8333333333,35.1497866537,2.27030149718
444620-99999,27.3,86.5,NP,13.58,86.0144868255,1.83886290304
720425-99999,37.163,-101.371,US,11.7625,76.3077669236,1.9578786098
726413-04875,43.417,-88.133,US,3.04166666667,51.6270392295,2.34109083674
655600-99999,6.793,-6.473,IV,28.4125,74.6797925986,1.6445076295
A00015-53129,36.96,-113.014,US,10.75,77.0882871222,1.97108749649
725229-04858,40.023,-82.463,US,11.3625,44.0596362152,2.24243157127
353942-99999,46.283,48.006,RS,11.5416666667,39.1161722204,2.28132407568
727449-04954,46.419,-92.804,US,0.541666666667,35.5295722067,2.5283571038
433350-99999,10.767,76.65,IN,33.6,59.8715187115,1.66957636946
724765-93013,38.506,-107.899,US,9.39583333333,57.6735390599,2.16428895153
999999-93804,34.917,-81.95,US,15.2916666667,65.5171372906,1.98107879538
919440-99999,-18.075,-140.946,FP,27.2875,75.5519338723,1.65914215738
840360-99999,0.6,-77.817,EC,14.3333333333,67.62963747,1.98179437717
296620-99999,55.383,91.617,RS,9.2625,32.669505875,2.38144488959
166480-99999,39.65,22.466,GR,11.6086956522,83.508364023,1.89912128016
959350-99999,-36.217,150.133,AS,18.6,73.8015039967,1.84495709571
014190-99999,59.05,6.117,NO,9.7875,52.7763834469,2.19860638003
867400-99999,-16.717,-43.867,BR,23.1608695652,70.9877207423,1.77943266038
014680-99999,60.183,12.0,NO,10.9916666667,53.2705194155,2.17069277675
724107-53895,36.766,-80.823,US,11.7708333333,58.5378683682,2.11018050607
726836-04201,45.773,-122.861,US,12.1416666667,70.2561797715,2.00234681089
721011-99999,47.967,-100.581,US,4.94583333333,60.0872466171,2.23106634069
722166-93845,30.783,-83.277,US,20.55,65.3005597023,1.87955819775
160200-99999,46.46,11.326,IT,16.5882352941,57.1074079961,2.02774373351
868550-99999,-21.717,-41.35,BR,23.1956521739,73.8498659495,1.75419162841
011170-99999,65.817,12.417,NO,5.91666666667,80.1663564676,2.03970099484
875760-99999,-34.822,-58.536,AR,18.2166666667,75.8819628333,1.83464309222
711060-94234,49.083,-125.767,CA,9.76923076923,82.7053035568,1.94217541856
720305-53964,33.254,-97.581,US,19.85,74.8971174851,1.81098173198
