station,lat,loc,country,air,rh,R
152890-99999,45.383,21.133,RO,5.67083333333,90.4794780262,1.9560474952
818220-99999,-5.55,-47.467,BR,25.7222222222,86.6019350447,1.59510650843
025610-99999,58.65,15.433,SW,2.25833333333,99.9700509598,1.94170812943
720483-99999,39.096,-93.203,US,-0.869565217391,96.5313685029,2.03270651042
833590-99999,-15.861,-52.389,BR,27.5454545455,78.1133084987,1.63209417672
249180-99999,60.05,108.083,RS,-17.5625,83.3575874468,2.47392064971
724586-03919,38.8,-97.65,US,0.720833333333,79.1480073499,2.1505885136
080270-99999,43.3,-2.033,SP,10.75,79.1207451727,1.95364900642
025260-99999,57.663,12.28,SW,3.73333333333,93.6214668661,1.96718048096
821070-99999,-0.117,-66.967,BR,27.0,94.4387365776,1.50274564016
272250-99999,58.1,38.683,RS,-10.475,79.2462465025,2.36985570501
286980-99999,54.967,73.311,RS,-14.8083333333,78.5195186292,2.46128436349
110162-99999,47.967,16.267,AU,0.666666666667,98.3525537094,1.98687842251
444620-99999,27.3,86.5,NP,11.4,67.9153922567,2.03701193444
720425-99999,37.163,-101.371,US,1.37272727273,89.650037248,2.04766486223
621200-99999,30.383,13.583,LY,16.75,72.7809592873,1.89008436931
726413-04875,43.417,-88.133,US,-1.4347826087,82.819087585,2.16147005461
655600-99999,6.793,-6.473,IV,28.9285714286,67.9071010668,1.69247135856
A00015-53129,36.96,-113.014,US,2.34782608696,65.8892969784,2.23236157106
725229-04858,40.023,-82.463,US,1.50416666667,77.9431079369,2.14552621724
353942-99999,46.283,48.006,RS,1.33333333333,72.0356370492,2.19957090078
727449-04954,46.419,-92.804,US,-8.41666666667,76.9430438818,2.34915035016
433350-99999,10.767,76.65,IN,28.6,69.5550260547,1.68479187645
724765-93013,38.506,-107.899,US,-5.64583333333,87.3259869618,2.2055901152
999999-93804,34.917,-81.95,US,8.29166666667,54.9367135002,2.2094788315
919440-99999,-18.075,-140.946,FP,27.9916666667,80.3045140857,1.60452110248
840360-99999,0.6,-77.817,EC,13.325,84.4273905394,1.85749348917
296620-99999,55.383,91.617,RS,-5.125,74.5700671806,2.30479632359
166480-99999,39.65,22.466,GR,8.13333333333,74.7968520745,2.04219167587
959350-99999,-36.217,150.133,AS,20.65,83.7329819766,1.71944201464
014190-99999,59.05,6.117,NO,2.65833333333,59.1707291569,2.2839023105
867400-99999,-16.717,-43.867,BR,23.1,84.0625628654,1.66844721061
014680-99999,60.183,12.0,NO,2.10416666667,88.1352244982,2.04628185714
724107-53895,36.766,-80.823,US,1.5652173913,77.0021804242,2.15239911805
726836-04201,45.773,-122.861,US,9.57916666667,90.6944381409,1.87736530408
721011-99999,47.967,-100.581,US,-4.6375,97.4508838389,2.09889466666
722166-93845,30.783,-83.277,US,11.0666666667,67.1436276208,2.05018700835
160200-99999,46.46,11.326,IT,3.23529411765,93.8746317477,1.97479977725
868550-99999,-21.717,-41.35,BR,26.0666666667,80.9262088958,1.63703246101
011170-99999,65.817,12.417,NO,-0.841666666667,62.6172441105,2.3231412122
875760-99999,-34.822,-58.536,AR,22.825,55.2603246402,1.92097691459
711060-94234,49.083,-125.767,CA,1.36428571429,89.3088676207,2.05075805867
720305-53964,33.254,-97.581,US,11.3782608696,85.7094812917,1.88476604182
076210-99999,43.179,-0.006,FR,9.2125,75.8634770495,2.01182361692
476370-99999,35.517,137.817,JA,7.27083333333,84.4841095198,1.97603175699
766870-99999,19.55,-96.917,MX,17.0285714286,88.3280230638,1.75121384783
957040-99999,-34.25,146.067,AS,27.7875,24.0549000745,2.09115670736
160580-99999,44.933,6.817,IT,1.55833333333,87.5913335366,2.06167952492
484200-99999,13.517,100.75,TH,27.9625,64.7550689475,1.73850875843
725556-94975,42.577,-100.001,US,0.8,92.3583273564,2.03568755128
725810-24193,40.721,-114.036,US,1.1652173913,77.2329723582,2.15828292325
724660-93037,38.81,-104.688,US,0.85652173913,56.0502250612,2.34609985158
724880-23185,39.484,-119.771,US,7.15416666667,45.4301796414,2.31340814201
154120-99999,44.483,23.117,RO,4.99583333333,78.6286989314,2.07099767984
384750-99999,40.733,72.333,UZ,-0.5,82.6125429678,2.14486438134
150100-99999,47.703,22.886,RO,3.47083333333,94.0149308664,1.96896530983
726370-14826,42.967,-83.749,US,0.9,72.0615399956,2.20786798684
310160-99999,58.633,128.5,RS,-18.975,77.8772357442,2.54871181731
246060-99999,63.583,103.967,RS,-16.9,85.9275493594,2.4388456265
685380-99999,-30.667,24.017,SF,24.3,20.3267153633,2.19170878218
877840-99999,-40.783,-65.1,AR,25.42,44.3650404914,1.96344075258
725127-04726,40.316,-78.834,US,-1.7125,88.4640012956,2.11849661888
819120-99999,-7.95,-38.3,BR,27.3769230769,61.1433771306,1.78100951653
957530-99999,-33.6,150.783,AS,27.275,74.6245802547,1.66734460141
673410-99999,-25.921,32.573,MZ,25.5217391304,65.8634614904,1.77698410911
066800-99999,47.25,9.35,SZ,-8.49166666667,99.3361143622,2.15849230544
959690-99999,-41.733,147.083,AS,18.9625,63.2652311647,1.92823156661
720932-00317,31.606,-90.409,US,7.86363636364,90.598778903,1.9119133861
726563-94969,44.333,-93.317,US,-6.63636363636,99.2404349453,2.12283797726
474020-99999,44.933,142.583,JA,-5.25833333333,78.0653295816,2.27742830552
306730-99999,53.75,119.733,RS,-25.5571428571,68.7519069654,2.75641206681
747810-13857,30.967,-83.2,US,11.1583333333,68.56912306,2.03615409081
067040-99999,46.517,6.333,SZ,4.07916666667,82.6096616276,2.05486268657
274170-99999,56.35,36.75,RS,-4.775,84.7176060254,2.2108494403
725970-24225,42.381,-122.872,US,8.37916666667,83.7260176499,1.9607463519
124150-99999,51.2,16.2,PL,4.75,73.2051698424,2.12236464275
720855-00283,48.784,-97.632,US,-12.125,87.0493659535,2.33534394012
406550-99999,32.55,44.717,IZ,10.5714285714,78.1294308975,1.96566519719
160540-99999,45.733,7.35,IT,4.51666666667,73.9621464094,2.12045711714
073610-99999,46.183,1.95,FR,6.57083333333,83.5708532403,1.99762949586
282140-99999,58.133,52.583,RS,-23.7875,77.7961295155,2.64402145876
