station,lat,loc,country,air,rh,R
844440-99999,-6.202,-77.856,PE,14.8,82.7556260979,1.84283872808
726950-24285,44.583,-124.05,US,4.25,88.1112906387,2.00430012632
152890-99999,45.383,21.133,RO,7.525,55.759681444,2.21749043321
818220-99999,-5.55,-47.467,BR,26.3909090909,80.2400593063,1.63654501842
025610-99999,58.65,15.433,SW,3.42,51.9762750261,2.33065636028
720483-99999,39.096,-93.203,US,8.54166666667,76.0379399482,2.02351530858
833590-99999,-15.861,-52.389,BR,31.7777777778,62.7540600632,1.68066905355
249180-99999,60.05,108.083,RS,0.7375,42.5702477192,2.46409802457
724586-03919,38.8,-97.65,US,0.120833333333,67.4184101127,2.2630244579
080270-99999,43.3,-2.033,SP,8.6625,71.2472541697,2.06224380922
025260-99999,57.663,12.28,SW,3.29583333333,56.9423866534,2.29048823918
821070-99999,-0.117,-66.967,BR,28.0,83.4587322484,1.57729407731
272250-99999,58.1,38.683,RS,5.7625,58.6125633047,2.22766345685
286980-99999,54.967,73.311,RS,2.53333333333,50.7762339221,2.35838457961
110162-99999,47.967,16.267,AU,13.6363636364,30.6417408489,2.31285295443
444620-99999,27.3,86.5,NP,17.5,44.216050538,2.12042628638
720425-99999,37.163,-101.371,US,0.2875,58.073621561,2.33992607701
726413-04875,43.417,-88.133,US,7.39130434783,65.1353372122,2.13967576324
655600-99999,6.793,-6.473,IV,28.775,80.3291895888,1.58890905333
A00015-53129,36.96,-113.014,US,6.875,41.474287796,2.35283811071
725229-04858,40.023,-82.463,US,9.79583333333,55.4023918938,2.17591139422
353942-99999,46.283,48.006,RS,6.70833333333,57.9113181402,2.21508505702
727449-04954,46.419,-92.804,US,0.625,85.8274750833,2.09516276379
433350-99999,10.767,76.65,IN,33.4,57.5755869272,1.69320746416
724765-93013,38.506,-107.899,US,1.90833333333,61.2289409171,2.2809878536
999999-93804,34.917,-81.95,US,13.7826086957,46.370268802,2.17502700672
919440-99999,-18.075,-140.946,FP,28.1416666667,80.8726866056,1.59669718226
296620-99999,55.383,91.617,RS,7.575,63.7402728818,2.14803395867
166480-99999,39.65,22.466,GR,8.125,84.6062052663,1.95819125881
959350-99999,-36.217,150.133,AS,20.5,69.0794852203,1.84811801681
014190-99999,59.05,6.117,NO,-0.466666666667,79.0126399823,2.17509621562
867400-99999,-16.717,-43.867,BR,25.7863636364,68.3031312428,1.75084922485
014680-99999,60.183,12.0,NO,2.00416666667,40.8934653147,2.45358215093
724107-53895,36.766,-80.823,US,9.675,38.3171361382,2.32487847193
726836-04201,45.773,-122.861,US,4.74583333333,78.4857365715,2.07713929688
721011-99999,47.967,-100.581,US,-9.91666666667,61.7792603372,2.50874561297
722166-93845,30.783,-83.277,US,15.8333333333,64.3048414285,1.98083112721
160200-99999,46.46,11.326,IT,12.3529411765,44.6544041229,2.2178563891
868550-99999,-21.717,-41.35,BR,27.6454545455,74.3074092059,1.66278279265
875760-99999,-34.822,-58.536,AR,15.9083333333,75.6118057353,1.88234287346
711060-94234,49.083,-125.767,CA,5.69230769231,73.9648393369,2.09732090926
720305-53964,33.254,-97.581,US,12.0166666667,90.4910913869,1.83118876923
076210-99999,43.179,-0.006,FR,9.35416666667,63.4689305397,2.1153836593
