station,lat,loc,country,air,rh,R
152890-99999,45.383,21.133,RO,9.52083333333,57.9675055954,2.15930921866
818220-99999,-5.55,-47.467,BR,26.8086956522,79.4166127719,1.6353965059
025610-99999,58.65,15.433,SW,7.92916666667,51.3719769107,2.24719102144
833590-99999,-15.861,-52.389,BR,28.6666666667,65.0875703493,1.72181197974
249180-99999,60.05,108.083,RS,4.0125,50.0720388,2.3353461571
724586-03919,38.8,-97.65,US,8.57083333333,60.4757729053,2.15646528514
080270-99999,43.3,-2.033,SP,17.1625,60.2087225575,1.98984441046
025260-99999,57.663,12.28,SW,7.04583333333,57.2358195704,2.21424558475
821070-99999,-0.117,-66.967,BR,28.1666666667,79.7502508606,1.60583618095
272250-99999,58.1,38.683,RS,-1.2,87.4735229521,2.11691917307
286980-99999,54.967,73.311,RS,9.27916666667,54.1702257796,2.19664104614
110162-99999,47.967,16.267,AU,19.5,29.5724846301,2.20674808187
444620-99999,27.3,86.5,NP,16.95,79.1998275332,1.83107847977
720425-99999,37.163,-101.371,US,7.99583333333,54.0618602365,2.22280115584
621200-99999,30.383,13.583,LY,20.5,69.0846768779,1.84807347239
726413-04875,43.417,-88.133,US,-0.25,43.1941970915,2.47815878896
655600-99999,6.793,-6.473,IV,27.6875,81.3009697942,1.60195142917
A00015-53129,36.96,-113.014,US,10.5,44.3449483176,2.25694034344
725229-04858,40.023,-82.463,US,3.27083333333,55.1463783669,2.30638949028
353942-99999,46.283,48.006,RS,9.5,50.6883314398,2.22217411625
727449-04954,46.419,-92.804,US,-0.333333333333,47.1841411423,2.44556340233
433350-99999,10.767,76.65,IN,33.3,61.4973485762,1.66152474922
724765-93013,38.506,-107.899,US,8.91666666667,42.4291534904,2.30450619639
999999-93804,34.917,-81.95,US,11.1666666667,47.0599951898,2.2205385746
919440-99999,-18.075,-140.946,FP,28.552173913,73.2561596474,1.6539764111
840360-99999,0.6,-77.817,EC,13.3,84.4656187659,1.85765699099
296620-99999,55.383,91.617,RS,6.9875,60.614417843,2.18640404491
166480-99999,39.65,22.466,GR,9.91666666667,66.5464840326,2.07791950033
959350-99999,-36.217,150.133,AS,22.25,67.7475974873,1.82514061356
