station,lat,loc,country,air,rh,R
844440-99999,-6.202,-77.856,PE,18.8111111111,64.1810852653,1.92334984398
342400-99999,50.8,42.0,RS,-4.925,69.0341230004,2.34836272466
726950-24285,44.583,-124.05,US,10.5,97.3294263886,1.80233352159
152890-99999,45.383,21.133,RO,-1.65416666667,78.7845852504,2.20039917522
818220-99999,-5.55,-47.467,BR,23.625,87.4441266841,1.62911189305
025610-99999,58.65,15.433,SW,6.1125,88.6894779997,1.96272252876
720483-99999,39.096,-93.203,US,0.0,99.3385489379,1.99152525011
833590-99999,-15.861,-52.389,BR,27.7272727273,78.2247268097,1.62756366215
249180-99999,60.05,108.083,RS,-18.075,78.3262564979,2.52716521925
724586-03919,38.8,-97.65,US,-0.0125,82.7050602964,2.13448633266
080270-99999,43.3,-2.033,SP,11.1,63.1138011009,2.08410758655
025260-99999,57.663,12.28,SW,4.9125,92.0636598615,1.95736404839
821070-99999,-0.117,-66.967,BR,28.625,91.1927318689,1.49864886057
272250-99999,58.1,38.683,RS,-3.025,87.0637124047,2.15631484757
286980-99999,54.967,73.311,RS,-1.93333333333,90.4477711933,2.10581745649
110162-99999,47.967,16.267,AU,-1.33333333333,97.3349387524,2.03492955884
444620-99999,27.3,86.5,NP,6.72,83.0204927552,1.99941897216
720425-99999,37.163,-101.371,US,4.63333333333,41.3815208945,2.39770521739
726413-04875,43.417,-88.133,US,0.291666666667,100.0,1.98011583333
655600-99999,6.793,-6.473,IV,28.0875,48.7516779187,1.87336035346
A00015-53129,36.96,-113.014,US,5.04166666667,74.780883415,2.10311085363
725229-04858,40.023,-82.463,US,6.35416666667,71.012837921,2.10963693397
353942-99999,46.283,48.006,RS,-3.0,68.0194858039,2.3192228118
727449-04954,46.419,-92.804,US,-2.08333333333,84.8324820493,2.15694563735
433350-99999,10.767,76.65,IN,29.5,75.9360773361,1.61234845646
724765-93013,38.506,-107.899,US,-1.24166666667,86.3374331432,2.1274859903
999999-93804,34.917,-81.95,US,4.5,77.5023805466,2.09040957491
919440-99999,-18.075,-140.946,FP,27.7875,76.9888046343,1.63698380624
840360-99999,0.6,-77.817,EC,12.2,94.736994043,1.79115459111
296620-99999,55.383,91.617,RS,-0.1875,60.3912440591,2.32937937597
166480-99999,39.65,22.466,GR,4.34285714286,73.1320196981,2.13099669956
959350-99999,-36.217,150.133,AS,21.4,70.6528425278,1.81692461111
014190-99999,59.05,6.117,NO,3.49565217391,80.6922768021,2.0827857433
867400-99999,-16.717,-43.867,BR,21.54,89.890913503,1.64910956214
014680-99999,60.183,12.0,NO,4.30416666667,61.1160346139,2.23485450635
724107-53895,36.766,-80.823,US,4.72083333333,81.9399697695,2.04799347604
726836-04201,45.773,-122.861,US,10.475,91.2231781765,1.85521663125
721011-99999,47.967,-100.581,US,-8.225,94.4207784077,2.19542322126
722166-93845,30.783,-83.277,US,15.3166666667,83.5611845597,1.82576936981
160200-99999,46.46,11.326,IT,1.70588235294,61.0333711697,2.28664602831
868550-99999,-21.717,-41.35,BR,22.47,91.9359146476,1.61327965232
011170-99999,65.817,12.417,NO,2.17083333333,72.4099061104,2.17989442224
875760-99999,-34.822,-58.536,AR,26.8625,63.9437883838,1.76709554567
711060-94234,49.083,-125.767,CA,1.35384615385,93.185278907,2.01770369159
720305-53964,33.254,-97.581,US,7.0,63.1256704491,2.16461174755
076210-99999,43.179,-0.006,FR,6.52916666667,80.4879697344,2.02489980301
476370-99999,35.517,137.817,JA,5.53913043478,81.9307105916,2.03198519878
766870-99999,19.55,-96.917,MX,15.9333333333,91.5215694702,1.74534560061
957040-99999,-34.25,146.067,AS,21.925,35.0443628084,2.1121238671
160580-99999,44.933,6.817,IT,-1.85833333333,83.8136739501,2.16126351084
484200-99999,13.517,100.75,TH,29.15,74.813172792,1.62886397744
725556-94975,42.577,-100.001,US,-4.51666666667,94.0423088396,2.12576465682
725810-24193,40.721,-114.036,US,2.09583333333,80.0828020196,2.11553547534
724660-93037,38.81,-104.688,US,0.925,39.1366033672,2.48987244311
724880-23185,39.484,-119.771,US,9.20833333333,53.792837028,2.20127162497
154120-99999,44.483,23.117,RO,-0.85,61.7282678766,2.33093246162
384750-99999,40.733,72.333,UZ,1.33333333333,90.9173678479,2.03756565053
150100-99999,47.703,22.886,RO,-1.0,78.3476346679,2.19128729455
726370-14826,42.967,-83.749,US,2.27727272727,74.9635661427,2.15589142068
310160-99999,58.633,128.5,RS,-39.0125,82.0801063504,2.90658843751
246060-99999,63.583,103.967,RS,-31.6125,76.1861381665,2.81167468453
685380-99999,-30.667,24.017,SF,23.2714285714,55.1361170404,1.91326583008
877840-99999,-40.783,-65.1,AR,26.7818181818,33.6233954915,2.02883072123
725127-04726,40.316,-78.834,US,1.28333333333,57.0333719959,2.32927333494
819120-99999,-7.95,-38.3,BR,24.8368421053,69.7223092976,1.75734027044
957530-99999,-33.6,150.783,AS,24.83125,78.4667272814,1.68242310493
673410-99999,-25.921,32.573,MZ,25.8227272727,74.6893882862,1.69534023032
066800-99999,47.25,9.35,SZ,-1.7875,45.2636267477,2.4906303325
959690-99999,-41.733,147.083,AS,16.79375,64.0456582779,1.96417312698
720932-00317,31.606,-90.409,US,10.0833333333,85.6069698424,1.91110386542
726563-94969,44.333,-93.317,US,-1.45833333333,97.0018060965,2.04024533703
474020-99999,44.933,142.583,JA,-7.1375,64.8660579766,2.42762247256
306730-99999,53.75,119.733,RS,-28.25,59.3705035,2.88984607997
747810-13857,30.967,-83.2,US,14.7130434783,85.4253218937,1.82164230337
