station,lat,loc,country,air,rh,R
726950-24285,44.583,-124.05,US,7.30434782609,82.5675718381,1.99181675537
152890-99999,45.383,21.133,RO,3.275,77.9897762463,2.11031121981
818220-99999,-5.55,-47.467,BR,26.9636363636,78.6123213009,1.63925119233
025610-99999,58.65,15.433,SW,1.1625,97.6267303852,1.98335790329
720483-99999,39.096,-93.203,US,3.09090909091,74.9939668623,2.13963449159
833590-99999,-15.861,-52.389,BR,25.7777777778,83.9132577843,1.6170831371
249180-99999,60.05,108.083,RS,-12.7125,68.618451913,2.50503143259
724586-03919,38.8,-97.65,US,7.57083333333,55.6732833483,2.21733064554
080270-99999,43.3,-2.033,SP,12.6375,66.2683239807,2.02681453025
025260-99999,57.663,12.28,SW,1.02083333333,92.2629548761,2.03216426383
821070-99999,-0.117,-66.967,BR,29.0,81.4943938921,1.57448810041
272250-99999,58.1,38.683,RS,-2.4875,72.4285941327,2.27131691234
286980-99999,54.967,73.311,RS,0.675,67.27656597,2.25334656398
110162-99999,47.967,16.267,AU,7.7,45.0081827173,2.30629779229
444620-99999,27.3,86.5,NP,14.58,63.4906908112,2.01245707284
720425-99999,37.163,-101.371,US,7.55416666667,45.0480887727,2.30882248166
621200-99999,30.383,13.583,LY,19.0,59.4831869016,1.95994425638
726413-04875,43.417,-88.133,US,-6.08333333333,40.574949985,2.61531526246
655600-99999,6.793,-6.473,IV,30.875,61.8406144505,1.70625502801
A00015-53129,36.96,-113.014,US,5.04545454545,51.7418899187,2.30071094813
725229-04858,40.023,-82.463,US,-3.32083333333,59.4531710424,2.39902937579
353942-99999,46.283,48.006,RS,5.83333333333,53.2073734237,2.27264740269
727449-04954,46.419,-92.804,US,-10.6956521739,71.0913152321,2.44416303705
433350-99999,10.767,76.65,IN,29.5,53.7545991335,1.80266553943
724765-93013,38.506,-107.899,US,4.32916666667,35.7258937138,2.45221041527
999999-93804,34.917,-81.95,US,3.90909090909,57.6978879157,2.27194939441
919440-99999,-18.075,-140.946,FP,26.7625,85.1969527701,1.58670939523
296620-99999,55.383,91.617,RS,-3.8375,86.9927904825,2.17289710766
166480-99999,39.65,22.466,GR,8.49565217391,39.9408833546,2.33413269908
959350-99999,-36.217,150.133,AS,21.45,51.6085689105,1.97934147875
014190-99999,59.05,6.117,NO,1.70416666667,68.3783627822,2.22365973066
867400-99999,-16.717,-43.867,BR,24.6590909091,75.5068818762,1.71120322623
014680-99999,60.183,12.0,NO,-3.09166666667,80.6264078928,2.21285758695
724107-53895,36.766,-80.823,US,-1.96086956522,69.1701410416,2.28892088552
726836-04201,45.773,-122.861,US,5.91666666667,82.4681904137,2.01995125958
721011-99999,47.967,-100.581,US,2.08333333333,80.8558622259,2.10914836877
722166-93845,30.783,-83.277,US,10.3666666667,56.1907119987,2.15792502438
160200-99999,46.46,11.326,IT,8.05882352941,32.9601907737,2.40261509257
868550-99999,-21.717,-41.35,BR,23.5434782609,87.5498641094,1.62980738333
875760-99999,-34.822,-58.536,AR,25.3458333333,67.7248792458,1.76447145274
711060-94234,49.083,-125.767,CA,1.13333333333,84.5447991685,2.0961742898
720305-53964,33.254,-97.581,US,16.05,30.2141698399,2.26906942277
076210-99999,43.179,-0.006,FR,9.8,77.3133332984,1.9878336003
476370-99999,35.517,137.817,JA,6.56086956522,78.972432083,2.03727983708
766870-99999,19.55,-96.917,MX,14.88,82.3050174309,1.84513215044
957040-99999,-34.25,146.067,AS,22.9375,45.535438095,2.00220469115
160580-99999,44.933,6.817,IT,-0.604166666667,76.6194431788,2.19833309419
484200-99999,13.517,100.75,TH,28.8125,77.2327681699,1.6147390991
725556-94975,42.577,-100.001,US,6.07083333333,50.4328554863,2.29178351659
725810-24193,40.721,-114.036,US,3.56666666667,51.6820018387,2.33029775756
724660-93037,38.81,-104.688,US,5.20416666667,27.357802966,2.50680613389
724880-23185,39.484,-119.771,US,12.5958333333,25.9027224373,2.37397055815
710840-99999,68.32,-100.08,CA,-35.9791666667,69.2418624003,2.95710523727
154120-99999,44.483,23.117,RO,3.68333333333,58.3249682996,2.27100743866
150100-99999,47.703,22.886,RO,2.3,80.0875259233,2.11148102758
726370-14826,42.967,-83.749,US,-3.89523809524,51.7364731722,2.47653144113
945840-99999,-25.933,153.183,AS,25.81875,74.8353936028,1.69416569789
310160-99999,58.633,128.5,RS,-11.775,86.1283093778,2.33636560554
246060-99999,63.583,103.967,RS,-14.35,78.8853587646,2.4491346218
685380-99999,-30.667,24.017,SF,21.42,54.5026535866,1.95510003223
877840-99999,-40.783,-65.1,AR,24.7181818182,44.5119641391,1.97597789314
725127-04726,40.316,-78.834,US,-7.37916666667,65.9229816124,2.42330523443
819120-99999,-7.95,-38.3,BR,26.8636363636,66.2778536769,1.74704692454
957530-99999,-33.6,150.783,AS,21.9625,77.0340163828,1.75111538944
673410-99999,-25.921,32.573,MZ,22.545,66.7854446795,1.82759618465
066800-99999,47.25,9.35,SZ,-3.66666666667,83.770643613,2.19718454447
959690-99999,-41.733,147.083,AS,16.21875,77.1198098823,1.86330140621
720932-00317,31.606,-90.409,US,9.41666666667,61.6411767299,2.12983703699
726563-94969,44.333,-93.317,US,-7.04761904762,83.7222824663,2.26406900692
474020-99999,44.933,142.583,JA,-5.42916666667,82.9261572995,2.23908098704
306730-99999,53.75,119.733,RS,-16.0125,64.4181939594,2.60594764583
747810-13857,30.967,-83.2,US,10.7956521739,54.0278123737,2.16804884809
067040-99999,46.517,6.333,SZ,7.56666666667,70.7185418224,2.0883242445
274170-99999,56.35,36.75,RS,-1.9375,68.7254023711,2.29227729766
725970-24225,42.381,-122.872,US,8.72083333333,54.9861116012,2.20061757913
124150-99999,51.2,16.2,PL,4.72083333333,69.3885952032,2.15568426982
720855-00283,48.784,-97.632,US,-4.04166666667,89.9478650766,2.15155648431
747355-53997,31.917,-98.6,US,13.9523809524,40.245630615,2.2242386798
