station,lat,loc,country,air,rh,R
726950-24285,44.583,-124.05,US,11.5833333333,98.4276320772,1.77161258344
152890-99999,45.383,21.133,RO,15.325,46.4326003048,2.14416878938
818220-99999,-5.55,-47.467,BR,25.480952381,84.1573254353,1.62082462396
025610-99999,58.65,15.433,SW,8.4625,52.7852242381,2.22458002604
833590-99999,-15.861,-52.389,BR,30.0,67.9859922768,1.67073018627
249180-99999,60.05,108.083,RS,11.35,48.1086836186,2.20793649455
724586-03919,38.8,-97.65,US,13.225,69.0925282966,1.99103260721
080270-99999,43.3,-2.033,SP,14.4,96.1716245109,1.7355934617
025260-99999,57.663,12.28,SW,7.75416666667,53.5008978899,2.23236537944
821070-99999,-0.117,-66.967,BR,27.4285714286,85.5468911424,1.57061195971
286980-99999,54.967,73.311,RS,7.11666666667,36.4390247688,2.39128950082
110162-99999,47.967,16.267,AU,17.9,35.9039610283,2.18388001438
444620-99999,27.3,86.5,NP,15.9,79.2655495028,1.85115758527
720425-99999,37.163,-101.371,US,11.4791666667,61.5135824398,2.090383046
726413-04875,43.417,-88.133,US,4.79166666667,77.0030602753,2.08895957617
655600-99999,6.793,-6.473,IV,28.3125,75.6066410586,1.63852126972
A00015-53129,36.96,-113.014,US,15.2916666667,39.5647935384,2.20374990477
725229-04858,40.023,-82.463,US,15.0541666667,61.7257711737,2.01827796666
353942-99999,46.283,48.006,RS,11.25,53.3824184836,2.16465384941
727449-04954,46.419,-92.804,US,9.125,55.6694001728,2.18680904652
433350-99999,10.767,76.65,IN,31.6,62.4151598518,1.68707192847
724765-93013,38.506,-107.899,US,10.15,30.1469527382,2.38564014551
999999-93804,34.917,-81.95,US,16.5652173913,71.5591341702,1.90420045491
919440-99999,-18.075,-140.946,FP,28.325,72.6012845139,1.66406147887
296620-99999,55.383,91.617,RS,18.425,40.7107972466,2.13231585962
166480-99999,39.65,22.466,GR,13.625,66.579287716,2.0047322114
959350-99999,-36.217,150.133,AS,20.1,67.5431074873,1.86916413776
014190-99999,59.05,6.117,NO,6.1875,60.99911297,2.19883136072
867400-99999,-16.717,-43.867,BR,22.4409090909,62.1007810235,1.86983702609
014680-99999,60.183,12.0,NO,8.27916666667,47.86171118,2.27042810141
724107-53895,36.766,-80.823,US,10.1833333333,94.3975917438,1.83371432951
726836-04201,45.773,-122.861,US,13.1166666667,86.2572600423,1.84588904217
721011-99999,47.967,-100.581,US,9.58333333333,78.7152848834,1.98006452237
722166-93845,30.783,-83.277,US,22.075,75.2381032043,1.76431257451
160200-99999,46.46,11.326,IT,18.0,48.5075944988,2.0737748392
868550-99999,-21.717,-41.35,BR,22.247826087,79.1583579446,1.72727902797
011170-99999,65.817,12.417,NO,4.29583333333,74.9871989794,2.11600374942
875760-99999,-34.822,-58.536,AR,18.0125,93.4090670305,1.68827445488
