station,lat,loc,country,air,rh,R
844440-99999,-6.202,-77.856,PE,16.3625,79.9376742427,1.836298005
726950-24285,44.583,-124.05,US,6.70833333333,87.8730636255,1.95801328076
152890-99999,45.383,21.133,RO,11.1086956522,39.6033706357,2.28565612342
818220-99999,-5.55,-47.467,BR,27.615,76.2086987997,1.6470684643
025610-99999,58.65,15.433,SW,8.28260869565,67.1592195155,2.1047878096
720483-99999,39.096,-93.203,US,13.0,100.0,1.73027
833590-99999,-15.861,-52.389,BR,30.0,67.16824319,1.67774647343
249180-99999,60.05,108.083,RS,3.1875,46.9576399154,2.37828719953
724586-03919,38.8,-97.65,US,18.7913043478,49.1434281684,2.05276234284
080270-99999,43.3,-2.033,SP,15.5285714286,71.3113823927,1.92670662479
025260-99999,57.663,12.28,SW,7.20833333333,69.9097880414,2.10230818527
821070-99999,-0.117,-66.967,BR,28.2,83.1386272868,1.57610857788
272250-99999,58.1,38.683,RS,5.7,61.3710395006,2.20522448108
286980-99999,54.967,73.311,RS,-0.117391304348,48.4127972686,2.43077611248
110162-99999,47.967,16.267,AU,18.2,17.2632471654,2.33791933932
444620-99999,27.3,86.5,NP,20.06,44.4079354102,2.06845031418
720425-99999,37.163,-101.371,US,16.6347826087,42.1763519365,2.1549370743
726413-04875,43.417,-88.133,US,10.7916666667,91.8389979856,1.84370723062
655600-99999,6.793,-6.473,IV,28.2,77.1293385128,1.62766827556
A00015-53129,36.96,-113.014,US,11.125,44.7073079218,2.24154379803
725229-04858,40.023,-82.463,US,18.8625,67.7201017272,1.89197477718
353942-99999,46.283,48.006,RS,4.86956521739,34.3925766188,2.45302604044
727449-04954,46.419,-92.804,US,6.91666666667,51.0122454899,2.27018326703
724765-93013,38.506,-107.899,US,11.4416666667,23.0975452571,2.42072989503
999999-93804,34.917,-81.95,US,21.2083333333,59.4256033675,1.91702248977
919440-99999,-18.075,-140.946,FP,28.5652173913,73.8426811646,1.64868762169
840360-99999,0.6,-77.817,EC,14.1333333333,82.3014625674,1.85984211784
296620-99999,55.383,91.617,RS,9.95,54.2687296949,2.18260729922
166480-99999,39.65,22.466,GR,10.8818181818,51.1852597116,2.19074392622
959350-99999,-36.217,150.133,AS,16.95,79.7886881948,1.82602605529
014190-99999,59.05,6.117,NO,6.6347826087,69.9261019763,2.11344421896
867400-99999,-16.717,-43.867,BR,24.03,81.0973335048,1.67560507853
014680-99999,60.183,12.0,NO,6.91818181818,59.0467025334,2.20121783772
724107-53895,36.766,-80.823,US,17.3916666667,73.5556421256,1.8708224239
726836-04201,45.773,-122.861,US,11.325,61.8501954729,2.09052582284
721011-99999,47.967,-100.581,US,2.79130434783,67.1615900381,2.21272651399
722166-93845,30.783,-83.277,US,23.8166666667,74.6946389643,1.73473433102
160200-99999,46.46,11.326,IT,17.0625,34.4767725349,2.21259054165
868550-99999,-21.717,-41.35,BR,22.5304347826,86.1456608951,1.66177188169
011170-99999,65.817,12.417,NO,4.85652173913,74.6306318395,2.10803996143
875760-99999,-34.822,-58.536,AR,11.0608695652,75.2831776032,1.98046364051
711060-94234,49.083,-125.767,CA,10.0,68.6653245055,2.05810151574
720305-53964,33.254,-97.581,US,25.825,56.3033043659,1.85304814854
076210-99999,43.179,-0.006,FR,13.5782608696,77.2710341409,1.91391591838
476370-99999,35.517,137.817,JA,12.1565217391,41.8996918397,2.24535342662
766870-99999,19.55,-96.917,MX,22.6,76.8440617018,1.7402119506
957040-99999,-34.25,146.067,AS,17.52,69.3289406844,1.90456448893
160580-99999,44.933,6.817,IT,5.56956521739,56.1465817586,2.25261467634
484200-99999,13.517,100.75,TH,30.4375,77.3189770729,1.58205192671
725556-94975,42.577,-100.001,US,10.9208333333,50.5685840161,2.19526796581
725810-24193,40.721,-114.036,US,12.5416666667,45.8938922221,2.20351123807
724660-93037,38.81,-104.688,US,14.5375,15.8111029409,2.42238348677
724880-23185,39.484,-119.771,US,9.575,52.3356997848,2.20656519585
710840-99999,68.32,-100.08,CA,-19.6695652174,75.6612328739,2.58138027412
154120-99999,44.483,23.117,RO,10.5391304348,33.7605089328,2.34698552901
150100-99999,47.703,22.886,RO,10.4826086957,45.671283554,2.24590230015
726370-14826,42.967,-83.749,US,14.72,65.5559165708,1.99198503582
945840-99999,-25.933,153.183,AS,21.7866666667,83.0360495064,1.70307482857
310160-99999,58.633,128.5,RS,0.1125,53.2377179667,2.38485862985
246060-99999,63.583,103.967,RS,4.8,33.6719295471,2.46057684449
685380-99999,-30.667,24.017,SF,12.4857142857,39.6108505157,2.25851975972
877840-99999,-40.783,-65.1,AR,17.12,28.3169817798,2.26431109633
