station,lat,loc,country,air,rh,R
844440-99999,-6.202,-77.856,PE,18.0111111111,60.4214851383,1.97133521307
342400-99999,50.8,42.0,RS,5.7625,68.7656419864,2.14055004176
726950-24285,44.583,-124.05,US,4.41666666667,92.1842720879,1.96607727882
152890-99999,45.383,21.133,RO,8.03333333333,87.5381919002,1.93483698016
818220-99999,-5.55,-47.467,BR,25.61875,86.1414892976,1.60109139683
025610-99999,58.65,15.433,SW,0.454166666667,96.906681364,2.00346175723
720483-99999,39.096,-93.203,US,3.0,48.6786002618,2.36720760975
833590-99999,-15.861,-52.389,BR,28.0,74.9269777904,1.65049653056
249180-99999,60.05,108.083,RS,-15.5,73.1766764441,2.52072411611
724586-03919,38.8,-97.65,US,11.7083333333,31.1488870969,2.34640671538
080270-99999,43.3,-2.033,SP,9.075,92.9274594606,1.86811789783
025260-99999,57.663,12.28,SW,1.19583333333,84.9596227911,2.09138635312
821070-99999,-0.117,-66.967,BR,27.8571428571,92.9417525564,1.49873833449
272250-99999,58.1,38.683,RS,1.0375,96.0671787745,1.99919635611
286980-99999,54.967,73.311,RS,-9.01666666667,61.727158173,2.49149864954
110162-99999,47.967,16.267,AU,7.8,62.1241279601,2.1574769821
444620-99999,27.3,86.5,NP,9.24,89.532241089,1.89400497146
720425-99999,37.163,-101.371,US,11.9041666667,48.8530983025,2.1906544999
621200-99999,30.383,13.583,LY,21.6666666667,45.6175285969,2.02648493797
726413-04875,43.417,-88.133,US,-0.478260869565,64.4958868236,2.29987789975
655600-99999,6.793,-6.473,IV,25.075,85.5945133549,1.61647457541
A00015-53129,36.96,-113.014,US,10.5416666667,45.1306004023,2.24938028188
725229-04858,40.023,-82.463,US,2.475,58.1288486515,2.29644597857
353942-99999,46.283,48.006,RS,6.75,47.5867477665,2.30285070416
727449-04954,46.419,-92.804,US,1.29166666667,50.131173083,2.38833036828
724765-93013,38.506,-107.899,US,9.1,32.7425565623,2.3840128647
999999-93804,34.917,-81.95,US,6.04166666667,42.7114897543,2.35860625124
919440-99999,-18.075,-140.946,FP,28.1,85.8330500094,1.55495643092
840360-99999,0.6,-77.817,EC,15.0,80.7486279659,1.85612677205
296620-99999,55.383,91.617,RS,-18.1625,69.7592057223,2.6023907649
166480-99999,39.65,22.466,GR,12.9583333333,68.1985875513,2.00394528548
959350-99999,-36.217,150.133,AS,19.35,65.3620843523,1.90262231626
014190-99999,59.05,6.117,NO,0.729166666667,76.8067242685,2.17051288911
867400-99999,-16.717,-43.867,BR,21.8125,89.398676842,1.6479756027
014680-99999,60.183,12.0,NO,-0.975,81.9038919675,2.16028310692
724107-53895,36.766,-80.823,US,0.0416666666667,62.2756763183,2.30870553052
726836-04201,45.773,-122.861,US,5.375,89.1559535444,1.97321941859
721011-99999,47.967,-100.581,US,3.45652173913,81.0513511565,2.08047418969
722166-93845,30.783,-83.277,US,10.3208333333,44.1414476085,2.26220879619
160200-99999,46.46,11.326,IT,9.41176470588,38.0617320399,2.33224504498
868550-99999,-21.717,-41.35,BR,22.93125,76.2982315719,1.73838279811
875760-99999,-34.822,-58.536,AR,26.1416666667,61.5842636864,1.8015118509
711060-94234,49.083,-125.767,CA,0.985714285714,85.0634792389,2.09462620527
720305-53964,33.254,-97.581,US,12.3208333333,35.2941871612,2.29879829082
076210-99999,43.179,-0.006,FR,7.76666666667,79.3028285303,2.01073906454
476370-99999,35.517,137.817,JA,7.43913043478,62.7022083189,2.15961174828
766870-99999,19.55,-96.917,MX,14.1666666667,81.3985945986,1.86693339168
957040-99999,-34.25,146.067,AS,20.34375,69.6309011555,1.84645874309
160580-99999,44.933,6.817,IT,-3.1625,64.5996771981,2.35175951964
484200-99999,13.517,100.75,TH,29.225,77.8124315974,1.60165583689
725556-94975,42.577,-100.001,US,10.4416666667,46.6834914031,2.23802247709
725810-24193,40.721,-114.036,US,9.775,40.4999195715,2.30418419008
724660-93037,38.81,-104.688,US,10.9,24.0118330818,2.42353447216
724880-23185,39.484,-119.771,US,10.9208333333,29.7466516253,2.37392014572
710840-99999,68.32,-100.08,CA,-38.8,66.4405551344,3.03659803695
154120-99999,44.483,23.117,RO,9.06666666667,75.1873137625,2.02049218125
150100-99999,47.703,22.886,RO,6.94166666667,93.5200041733,1.90497519753
726370-14826,42.967,-83.749,US,-0.319047619048,58.8861849378,2.34487900942
945840-99999,-25.933,153.183,AS,24.84375,95.3719784367,1.53713030001
310160-99999,58.633,128.5,RS,-6.7,81.4608393506,2.27663799837
246060-99999,63.583,103.967,RS,-27.7875,66.4680141544,2.81985668856
685380-99999,-30.667,24.017,SF,27.4666666667,31.995646548,2.02933268595
877840-99999,-40.783,-65.1,AR,25.9727272727,42.1326469709,1.97172807081
725127-04726,40.316,-78.834,US,-0.35,61.2710724276,2.32502519857
819120-99999,-7.95,-38.3,BR,24.4791666667,80.5949128402,1.67108523116
957530-99999,-33.6,150.783,AS,19.54375,83.1884420181,1.74586304248
673410-99999,-25.921,32.573,MZ,25.7173913043,69.7237109798,1.74001664675
066800-99999,47.25,9.35,SZ,-10.9,96.1941444731,2.23279824042
959690-99999,-41.733,147.083,AS,12.11875,66.8500224401,2.03202218246
720932-00317,31.606,-90.409,US,10.0,48.8755151709,2.22789807983
726563-94969,44.333,-93.317,US,2.75,62.2310881952,2.25584226329
474020-99999,44.933,142.583,JA,-3.0347826087,76.1926143644,2.24978119484
306730-99999,53.75,119.733,RS,-9.0625,50.5384971005,2.58839844488
747810-13857,30.967,-83.2,US,11.69375,38.4752740119,2.28383302398
067040-99999,46.517,6.333,SZ,3.02083333333,63.273613438,2.24157281337
274170-99999,56.35,36.75,RS,6.45,84.7948415849,1.9895032592
725970-24225,42.381,-122.872,US,7.84166666667,69.5160852195,2.09323482215
124150-99999,51.2,16.2,PL,4.69166666667,83.1321781127,2.03833774513
720855-00283,48.784,-97.632,US,-0.478260869565,85.1178394605,2.12294154612
747355-53997,31.917,-98.6,US,12.2857142857,48.6587164332,2.18482107015
406550-99999,32.55,44.717,IZ,18.2125,52.3971952258,2.03622431496
160540-99999,45.733,7.35,IT,7.63333333333,33.6354175858,2.40518678378
073610-99999,46.183,1.95,FR,5.59166666667,83.3549262152,2.01873256641
282140-99999,58.133,52.583,RS,-0.4125,81.93097239,2.14899200689
610450-99999,13.983,10.3,NG,27.7125,17.2131781792,2.15133318122
701338-99999,61.533,-165.583,US,-16.3458333333,79.2024477077,2.485652082
150850-99999,47.15,24.517,RO,6.4125,89.3490538539,1.95116536793
725104-04843,41.626,-80.215,US,-1.32083333333,73.0913119996,2.24269412638
956400-99999,-32.667,116.667,AS,21.5,68.2060421241,1.83595215858
633340-99999,10.35,37.717,ET,19.84,53.4497591605,1.9951966664
036720-99999,51.553,-0.418,UK,7.27916666667,82.8017726976,1.99030237359
151630-99999,46.533,23.317,RO,0.908333333333,92.5232735942,2.03214247923
164590-99999,37.4,14.917,IT,11.1833333333,90.4405901405,1.84800540326
701333-26643,66.069,-162.764,US,-17.0458333333,87.2380726043,2.43046842039
723628-93942,31.178,-99.324,US,12.0833333333,42.3941595701,2.24254977756
672600-99999,-16.1,35.767,MZ,23.44,79.4077964729,1.70170070626
681100-99999,-22.567,17.1,WA,21.5291666667,48.0542339482,2.00828125606
827910-99999,-7.017,-37.267,BR,28.6,71.7884507027,1.66562909297
725053-94728,40.779,-73.969,US,4.55,55.1848962539,2.28091059014
800280-99999,10.89,-74.781,CO,26.8166666667,78.5071931416,1.64304261618
717880-99999,49.867,-111.733,CA,-2.24583333333,86.8808517234,2.14256537555
378970-99999,39.533,46.017,AM,3.3,73.7122769947,2.14652066339
715130-99999,50.183,-61.783,CA,-9.92916666667,46.1139177869,2.64340000205
852420-99999,-17.963,-67.076,BL,14.75,46.543598298,2.1545209266
291110-99999,59.217,78.233,RS,-11.8375,66.6493520755,2.50472380919
067500-99999,46.65,8.617,SZ,-8.67083333333,81.6277679683,2.31395233416
297120-99999,54.7,78.667,RS,-14.2875,66.9881349625,2.54998405202
010820-99999,69.15,29.25,NO,-2.54583333333,73.827660094,2.26045975973
062730-99999,52.7,5.883,NL,6.56956521739,79.0145833626,2.03674722258
787110-99999,15.261,-83.781,HO,28.4857142857,74.2927905327,1.64638871437
717380-99999,47.967,-84.787,CA,-2.28571428571,69.5821198435,2.2917725546
471000-99999,37.683,128.717,KS,-0.0625,79.6294653589,2.16185793722
171240-99999,39.784,30.582,TU,9.6875,57.9886526636,2.15585111015
869950-99999,-32.033,-52.1,BR,23.2043478261,61.6703271351,1.85852111492
431810-99999,16.53,80.797,IN,27.7,76.7322233483,1.64090552367
360380-99999,51.15,82.2,KZ,-16.85,65.9997869995,2.60884282754
506320-99999,48.767,121.917,CH,-6.25,53.8125765964,2.5050130928
818690-99999,-6.967,-42.15,BR,25.6125,85.4896313075,1.60680721338
725050-04781,40.794,-73.102,US,3.51666666667,53.2496464206,2.31783036704
723403-13963,34.727,-92.239,US,8.5875,50.8835940196,2.23843851331
716880-99999,50.15,-123.117,CA,-5.34545454545,87.8686921008,2.19502825814
