station,lat,loc,country,air,rh,R
844440-99999,-6.202,-77.856,PE,16.1142857143,80.6717081301,1.8348798871
726950-24285,44.583,-124.05,US,10.75,85.3348752128,1.90033177067
152890-99999,45.383,21.133,RO,11.5375,64.7691541495,2.0613034074
818220-99999,-5.55,-47.467,BR,29.0,64.5646251325,1.71974551636
025610-99999,58.65,15.433,SW,8.16666666667,67.3416821246,2.1055017007
720483-99999,39.096,-93.203,US,7.0,93.3806191335,1.90502428783
833590-99999,-15.861,-52.389,BR,29.3333333333,62.6058311832,1.72999863511
249180-99999,60.05,108.083,RS,4.875,69.9320553417,2.14799046517
724586-03919,38.8,-97.65,US,15.5708333333,47.5677487553,2.12959613235
080270-99999,43.3,-2.033,SP,16.8,81.2737439994,1.81623327649
025260-99999,57.663,12.28,SW,7.4,70.5097914612,2.09339198926
821070-99999,-0.117,-66.967,BR,28.8333333333,77.6754545074,1.61053126699
286980-99999,54.967,73.311,RS,15.2375,40.2216511742,2.19917898293
110162-99999,47.967,16.267,AU,12.6363636364,47.7786284546,2.18547845877
444620-99999,27.3,86.5,NP,16.35,88.535893389,1.76277103472
720425-99999,37.163,-101.371,US,16.2,38.6027605882,2.19414631415
621200-99999,30.383,13.583,LY,34.3333333333,53.4599688292,1.71017013411
726413-04875,43.417,-88.133,US,7.58333333333,46.598651941,2.29494523301
655600-99999,6.793,-6.473,IV,27.7714285714,81.6345597383,1.59743919173
A00015-53129,36.96,-113.014,US,18.4166666667,28.6418885064,2.23603092995
725229-04858,40.023,-82.463,US,8.9125,60.9966421302,2.14527906052
353942-99999,46.283,48.006,RS,19.875,58.6252590509,1.95010277734
727449-04954,46.419,-92.804,US,11.3333333333,47.9848699354,2.20932648262
433350-99999,10.767,76.65,IN,32.0,64.2278805818,1.66365478461
724765-93013,38.506,-107.899,US,15.4666666667,18.5333088236,2.38075954363
999999-93804,34.917,-81.95,US,16.4583333333,66.3855484948,1.95069116058
919440-99999,-18.075,-140.946,FP,26.8916666667,83.7795013802,1.59633171149
840360-99999,0.6,-77.817,EC,12.9666666667,87.3967128497,1.83906153708
296620-99999,55.383,91.617,RS,8.925,50.437283633,2.23563260643
166480-99999,39.65,22.466,GR,18.35,57.202810206,1.99228888843
959350-99999,-36.217,150.133,AS,16.45,65.8224339341,1.95568651685
014190-99999,59.05,6.117,NO,6.17083333333,72.192848985,2.10311677238
867400-99999,-16.717,-43.867,BR,22.4954545455,61.5315659651,1.87364852766
014680-99999,60.183,12.0,NO,10.1583333333,44.2620317391,2.26436893434
724107-53895,36.766,-80.823,US,9.19583333333,84.2362294628,1.94031306788
726836-04201,45.773,-122.861,US,13.6083333333,63.225956731,2.03383145791
721011-99999,47.967,-100.581,US,9.76086956522,65.5927425986,2.08916557285
722166-93845,30.783,-83.277,US,24.0125,61.8000081582,1.84152018
160200-99999,46.46,11.326,IT,19.9411764706,43.7567625677,2.07637344776
868550-99999,-21.717,-41.35,BR,24.6565217391,72.0003022231,1.74134018953
011170-99999,65.817,12.417,NO,3.8625,80.1299395752,2.08039836844
875760-99999,-34.822,-58.536,AR,11.0958333333,81.8989111988,1.92301325858
711060-94234,49.083,-125.767,CA,10.8461538462,78.9689693629,1.95306085825
720305-53964,33.254,-97.581,US,20.4791666667,40.899492733,2.09031193568
076210-99999,43.179,-0.006,FR,17.9333333333,69.6784693967,1.89343939924
476370-99999,35.517,137.817,JA,13.8782608696,85.7261713395,1.83547284121
766870-99999,19.55,-96.917,MX,22.7,79.2029361586,1.71800680776
957040-99999,-34.25,146.067,AS,16.9125,69.597853017,1.91420067111
160580-99999,44.933,6.817,IT,11.9958333333,61.1669502064,2.0831994839
484200-99999,13.517,100.75,TH,31.45,74.7948521059,1.58380316893
725556-94975,42.577,-100.001,US,9.32916666667,65.0010058882,2.10272995281
725810-24193,40.721,-114.036,US,18.2166666667,18.7178380409,2.32511128294
724660-93037,38.81,-104.688,US,12.6125,32.180761085,2.31977731989
724880-23185,39.484,-119.771,US,16.6,20.1538538772,2.34457393373
710840-99999,68.32,-100.08,CA,-15.225,79.3879173864,2.46202516882
154120-99999,44.483,23.117,RO,11.2875,59.162847005,2.1143205227
150100-99999,47.703,22.886,RO,8.15,75.1972536689,2.03842856352
726370-14826,42.967,-83.749,US,8.82083333333,34.6329678972,2.37328155211
945840-99999,-25.933,153.183,AS,21.175,71.4663639552,1.81436809726
310160-99999,58.633,128.5,RS,8.2875,62.1353172756,2.14779672778
246060-99999,63.583,103.967,RS,0.6875,61.2319768226,2.30496338886
685380-99999,-30.667,24.017,SF,15.1142857143,42.0442289715,2.18596365828
877840-99999,-40.783,-65.1,AR,10.90625,62.4459751156,2.09364665851
725127-04726,40.316,-78.834,US,3.825,86.1722709899,2.02929241491
819120-99999,-7.95,-38.3,BR,25.29,67.4619899214,1.76782472647
957530-99999,-33.6,150.783,AS,12.25,84.9561542269,1.87409119673
673410-99999,-25.921,32.573,MZ,22.8666666667,72.0967166113,1.77570150481
066800-99999,47.25,9.35,SZ,-1.00833333333,68.7352236391,2.27392561451
959690-99999,-41.733,147.083,AS,12.175,85.2151056005,1.87334389395
720932-00317,31.606,-90.409,US,21.3913043478,57.0613021622,1.93371098397
726563-94969,44.333,-93.317,US,11.7083333333,59.6792700314,2.1016160298
474020-99999,44.933,142.583,JA,6.85833333333,86.2213079094,1.9692363448
306730-99999,53.75,119.733,RS,13.4875,30.1547430512,2.31995805462
747810-13857,30.967,-83.2,US,23.8666666667,61.1609231672,1.84987061256
067040-99999,46.517,6.333,SZ,12.0791666667,78.1217844394,1.93608867284
274170-99999,56.35,36.75,RS,14.5625,87.4304118488,1.80739831634
725970-24225,42.381,-122.872,US,14.2125,50.2370449428,2.13339840439
124150-99999,51.2,16.2,PL,9.725,67.2879251855,2.07532610191
720855-00283,48.784,-97.632,US,8.54166666667,59.4040683465,2.16623392692
