station,lat,loc,country,air,rh,R
844440-99999,-6.202,-77.856,PE,18.1714285714,67.1856030491,1.91014724012
726950-24285,44.583,-124.05,US,10.652173913,92.0638369334,1.84452053998
152890-99999,45.383,21.133,RO,13.2833333333,70.4463730474,1.97826978592
818220-99999,-5.55,-47.467,BR,28.9571428571,67.4029218029,1.69623550236
025610-99999,58.65,15.433,SW,7.49,76.2735154387,2.04216983754
833590-99999,-15.861,-52.389,BR,31.5,48.2095824558,1.81092178253
249180-99999,60.05,108.083,RS,13.4875,50.2596445058,2.14745800014
724586-03919,38.8,-97.65,US,15.3041666667,60.3372822469,2.02527620165
080270-99999,43.3,-2.033,SP,17.2625,74.5135025938,1.86514339774
025260-99999,57.663,12.28,SW,6.91666666667,60.5972402538,2.18794401196
821070-99999,-0.117,-66.967,BR,26.1666666667,89.8292746909,1.55867815649
272250-99999,58.1,38.683,RS,11.7,94.8670560984,1.79986865868
286980-99999,54.967,73.311,RS,8.84166666667,47.4248888779,2.26311728676
110162-99999,47.967,16.267,AU,12.4166666667,65.4868333047,2.03786130358
444620-99999,27.3,86.5,NP,17.72,78.0975559146,1.82539777025
720425-99999,37.163,-101.371,US,16.9217391304,46.397350925,2.11307933776
726413-04875,43.417,-88.133,US,5.04347826087,51.477335947,2.30301967497
655600-99999,6.793,-6.473,IV,29.25,77.9304925569,1.60015137386
A00015-53129,36.96,-113.014,US,19.5909090909,18.0991028639,2.3034024247
725229-04858,40.023,-82.463,US,9.8125,51.7699073132,2.20675044525
353942-99999,46.283,48.006,RS,19.625,60.4308959483,1.93952541276
727449-04954,46.419,-92.804,US,5.04347826087,66.3226712743,2.17564669786
433350-99999,10.767,76.65,IN,32.9,69.3708876694,1.6018337838
724765-93013,38.506,-107.899,US,12.4125,22.8555882289,2.403719303
999999-93804,34.917,-81.95,US,18.6086956522,86.9359638682,1.73209247349
919440-99999,-18.075,-140.946,FP,26.9041666667,82.3759508448,1.60812842509
840360-99999,0.6,-77.817,EC,15.3,77.1594872153,1.88102359969
296620-99999,55.383,91.617,RS,4.2,79.5857451565,2.07843230656
166480-99999,39.65,22.466,GR,16.1833333333,53.0399852657,2.07060259309
959350-99999,-36.217,150.133,AS,15.25,75.1568433708,1.89918928388
014190-99999,59.05,6.117,NO,4.89166666667,53.9233417907,2.28501756077
867400-99999,-16.717,-43.867,BR,22.5142857143,61.0729521177,1.87721321369
014680-99999,60.183,12.0,NO,7.9375,48.9414084634,2.26788146538
