station,lat,loc,country,air,rh,R
844440-99999,-6.202,-77.856,PE,17.0875,74.0559789715,1.87250945042
342400-99999,50.8,42.0,RS,0.357142857143,71.859328063,2.22027553665
726950-24285,44.583,-124.05,US,2.45833333333,90.1853819477,2.02172858956
152890-99999,45.383,21.133,RO,7.15217391304,86.9900240196,1.95686385478
818220-99999,-5.55,-47.467,BR,25.6090909091,79.8869507367,1.65494523541
025610-99999,58.65,15.433,SW,-1.00909090909,97.5705784754,2.02653316395
720483-99999,39.096,-93.203,US,1.39130434783,83.5279488501,2.09982715539
833590-99999,-15.861,-52.389,BR,28.7,72.3315519024,1.65900328468
249180-99999,60.05,108.083,RS,-27.4285714286,67.8468732593,2.80096954172
724586-03919,38.8,-97.65,US,-1.20416666667,59.1126720756,2.36033719026
080270-99999,43.3,-2.033,SP,11.3714285714,85.5855517366,1.88596368039
025260-99999,57.663,12.28,SW,0.226086956522,93.359350037,2.03838190712
821070-99999,-0.117,-66.967,BR,31.5,69.1598176568,1.6311687645
272250-99999,58.1,38.683,RS,-3.9,89.6525463879,2.15130515199
286980-99999,54.967,73.311,RS,-6.52173913043,81.4221553981,2.27346529799
110162-99999,47.967,16.267,AU,7.0,67.0220113479,2.13118114263
444620-99999,27.3,86.5,NP,10.6,68.3606702469,2.04891944928
720425-99999,37.163,-101.371,US,-3.06086956522,66.393745253,2.33436836138
621200-99999,30.383,13.583,LY,20.4333333333,52.1428780636,1.99474477288
726413-04875,43.417,-88.133,US,-0.916666666667,70.27603821,2.25890325882
655600-99999,6.793,-6.473,IV,27.8,51.8644400284,1.85230510456
A00015-53129,36.96,-113.014,US,-3.08333333333,47.7404395985,2.49485536158
725229-04858,40.023,-82.463,US,11.8291666667,75.8772315423,1.9602619367
353942-99999,46.283,48.006,RS,4.08695652174,77.4523458681,2.09895930723
727449-04954,46.419,-92.804,US,-12.7083333333,62.43678248,2.55798823966
433350-99999,10.767,76.65,IN,28.9,60.1735922394,1.75938657859
724765-93013,38.506,-107.899,US,-6.4375,64.1663926796,2.41986360081
999999-93804,34.917,-81.95,US,16.25,50.5746686125,2.0904443433
919440-99999,-18.075,-140.946,FP,28.1043478261,76.696149922,1.63326555541
840360-99999,0.6,-77.817,EC,13.8,80.802300887,1.87925825839
296620-99999,55.383,91.617,RS,-13.15,86.8746075689,2.35699486706
166480-99999,39.65,22.466,GR,11.147826087,69.7647693058,2.02610201849
959350-99999,-36.217,150.133,AS,21.15,52.4182326837,1.97829256357
014190-99999,59.05,6.117,NO,0.1,74.638165461,2.20148854034
867400-99999,-16.717,-43.867,BR,24.1944444444,71.5466885999,1.75431663403
014680-99999,60.183,12.0,NO,-2.89130434783,78.3155095021,2.22874597195
724107-53895,36.766,-80.823,US,13.4291666667,55.8019147749,2.10105215456
726836-04201,45.773,-122.861,US,0.55,88.0706431819,2.0773908815
721011-99999,47.967,-100.581,US,-10.6826086957,78.170618844,2.38316617727
722166-93845,30.783,-83.277,US,13.5583333333,76.9416870583,1.91713349171
160200-99999,46.46,11.326,IT,6.6875,57.486423758,2.21914023416
868550-99999,-21.717,-41.35,BR,26.8772727273,76.3952763562,1.65997134705
011170-99999,65.817,12.417,NO,-2.55217391304,80.8865135514,2.20001945286
875760-99999,-34.822,-58.536,AR,29.1173913043,58.475683223,1.7696807249
711060-94234,49.083,-125.767,CA,-5.16428571429,84.1932139919,2.22300208109
720305-53964,33.254,-97.581,US,10.9333333333,90.9341168477,1.84868594411
076210-99999,43.179,-0.006,FR,10.4173913043,78.4057522297,1.96632273283
476370-99999,35.517,137.817,JA,3.7,46.2948730721,2.37389798904
766870-99999,19.55,-96.917,MX,17.0,81.5852981698,1.8096281417
957040-99999,-34.25,146.067,AS,25.225,30.2835642879,2.08809351841
160580-99999,44.933,6.817,IT,3.03913043478,46.549752705,2.38470381744
484200-99999,13.517,100.75,TH,28.8142857143,73.5320957244,1.64645576154
725556-94975,42.577,-100.001,US,-5.17083333333,66.9384237482,2.37117690757
725810-24193,40.721,-114.036,US,-4.15833333333,44.234093036,2.54607431508
724660-93037,38.81,-104.688,US,-9.975,66.0981963916,2.47283597496
724880-23185,39.484,-119.771,US,-4.05,37.6926026077,2.60007046963
154120-99999,44.483,23.117,RO,6.13913043478,74.3803292897,2.08497147035
384750-99999,40.733,72.333,UZ,-1.66666666667,87.0095768617,2.13007449719
150100-99999,47.703,22.886,RO,4.9652173913,93.674975011,1.94250254049
726370-14826,42.967,-83.749,US,1.95,66.914794781,2.23138406078
310160-99999,58.633,128.5,RS,-29.3428571429,84.0765361669,2.69935389112
246060-99999,63.583,103.967,RS,-31.3428571429,77.4855001677,2.79522497999
685380-99999,-30.667,24.017,SF,27.075,36.6836070479,1.99681015153
877840-99999,-40.783,-65.1,AR,27.21,25.7197740809,2.08822573839
725127-04726,40.316,-78.834,US,11.675,66.9683578864,2.03973098933
819120-99999,-7.95,-38.3,BR,26.02,67.7976523579,1.75059294277
957530-99999,-33.6,150.783,AS,20.4125,63.8318381509,1.89486307867
673410-99999,-25.921,32.573,MZ,27.419047619,78.6026590628,1.63038070905
066800-99999,47.25,9.35,SZ,-8.80869565217,96.1783116942,2.19181904219
959690-99999,-41.733,147.083,AS,13.5875,60.9359173374,2.05388957924
720932-00317,31.606,-90.409,US,18.125,84.100532103,1.76592993456
726563-94969,44.333,-93.317,US,-7.375,59.9764288497,2.47424474047
474020-99999,44.933,142.583,JA,-9.41304347826,78.4960961905,2.35541392947
306730-99999,53.75,119.733,RS,-27.6571428571,55.0955538267,2.91486957674
747810-13857,30.967,-83.2,US,14.9083333333,78.5287191846,1.87697575606
067040-99999,46.517,6.333,SZ,3.8652173913,77.8831633234,2.09962228477
274170-99999,56.35,36.75,RS,-2.32857142857,74.7570508659,2.24821421786
725970-24225,42.381,-122.872,US,-0.458333333333,72.2166820485,2.23324170136
124150-99999,51.2,16.2,PL,4.30434782609,89.6389543373,1.99012429352
720855-00283,48.784,-97.632,US,-17.375,72.3704314144,2.56450419846
406550-99999,32.55,44.717,IZ,12.02,60.4745416502,2.08866523264
160540-99999,45.733,7.35,IT,10.1130434783,37.6258872262,2.32219745282
073610-99999,46.183,1.95,FR,5.88260869565,82.6674449436,2.01891123543
282140-99999,58.133,52.583,RS,-0.371428571429,91.9935990212,2.06184720611
610450-99999,13.983,10.3,NG,21.4714285714,21.2521062332,2.2393786428
701338-99999,61.533,-165.583,US,-0.95,97.3124608323,2.02758608606
150850-99999,47.15,24.517,RO,3.97391304348,92.8929406372,1.9687014389
725104-04843,41.626,-80.215,US,7.54583333333,67.8932105648,2.11297517002
956400-99999,-32.667,116.667,AS,27.6375,36.832304424,1.98447557804
633340-99999,10.35,37.717,ET,17.6,55.2810099315,2.02352293479
036720-99999,51.553,-0.418,UK,6.60434782609,72.8495234182,2.08895961081
151630-99999,46.533,23.317,RO,0.165217391304,89.8947472907,2.06930489433
164590-99999,37.4,14.917,IT,13.9739130435,72.8725590041,1.94387631331
